@relation 'arff_ant-1.3.csv-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-10'

@attribute 0.369rfc... numeric
@attribute -0.443dit... numeric
@attribute 0.533avg_cc... numeric
@attribute -0.563lcom3... numeric
@attribute -0.443ca... numeric
@attribute 0.572moa... numeric
@attribute -0.453amc... numeric
@attribute -0.8cam... numeric
@attribute -0.599noc... numeric
@attribute class {buggy,clean}

@data
1.597704,-0.283818,0.680153,-0.455409,-0.219064,0.26347,0.59643,0.465589,-0.260847,buggy
-1.633774,1.795692,-0.201404,1.403628,-0.379982,-0.304234,0.475564,-0.625706,-0.800395,clean
-0.382352,0.990496,1.259116,0.097515,0.466426,-0.371548,-1.036107,-0.83944,-0.331453,clean
3.312288,-2.42309,-0.617163,-0.801133,0.385308,0.672747,-0.218125,0.32441,0.156512,buggy
-1.942897,1.012922,0.184342,0.807002,0.877811,-0.85338,-0.045011,-0.857311,-0.153236,clean
-3.251527,1.841435,-0.427723,-2.102039,-0.212248,0.504245,0.204413,-0.684705,-0.031652,clean
-2.9069,1.926447,-0.487267,-1.897724,0.004272,0.834896,0.765133,0.424931,0.207993,clean
-1.059645,1.523949,-0.617555,1.339824,0.921334,0.565253,0.45169,0.520296,-0.548796,clean
0.109834,-1.320851,0.173971,0.103785,0.168743,-0.366257,-0.970097,0.832945,-0.410062,clean
3.728842,-2.531241,0.067595,-1.010125,-0.141572,-0.001313,-1.047878,1.507275,-1.155721,buggy
-3.242161,1.857436,-0.421511,-1.901953,-0.306573,0.706102,0.388304,-0.319419,0.283974,clean
-1.165868,-0.042338,-0.954057,0.959191,0.451323,-0.25121,0.513955,0.082157,-0.127251,clean
-2.563725,1.138354,0.079918,0.447718,0.664517,-0.633009,0.242497,-0.180019,-0.454552,clean
4.160892,2.935548,5.95579,0.934449,-2.320394,-1.478824,2.225252,0.182559,0.089253,clean
-0.912536,1.37324,0.117273,0.686459,1.435524,0.027215,0.773666,0.609184,-0.022766,clean
-1.790913,-1.035724,-0.333458,1.166213,0.198338,-1.412693,-1.647402,-1.280052,0.16769,clean
-3.285918,1.848363,-0.455956,-2.093196,-0.207005,0.505572,0.239904,-0.699936,-0.009881,clean
-2.157445,1.396578,0.343586,-1.933791,-0.361392,1.32726,-0.872804,1.035374,0.057285,clean
-3.067802,1.750443,-1.018479,-1.75914,0.635666,1.253165,0.966021,2.347015,0.16866,clean
0.706875,-4.574297,-1.667604,-0.465823,-0.902843,-0.167246,1.661901,0.117409,-0.139091,clean
-0.309256,-1.16503,-0.119333,0.560693,0.24593,-0.309798,0.096049,0.392392,0.481237,clean
1.718394,-0.175617,-0.688303,0.905816,-0.15679,0.186836,-0.053198,0.568773,0.497757,buggy
0.70813,-0.746988,0.070223,0.414714,0.667097,0.663278,0.29931,-0.243367,0.711887,clean
1.6164,0.844186,3.009688,-0.202582,0.304972,-0.146442,-1.791894,2.291101,-1.599977,buggy
0.364692,-2.39589,-0.661474,0.575869,-0.083137,0.170422,0.325076,0.418561,0.113791,buggy
1.94484,-3.022075,0.937455,0.972033,-0.674522,1.300087,0.661247,-0.645623,1.374695,clean
-1.463838,-1.302065,-0.695165,0.312082,0.083367,-0.835682,-0.544782,-0.798044,-0.051441,clean
-3.006911,1.71823,-0.251184,-1.997328,-0.194188,0.777173,0.043966,0.123475,-0.006372,clean
3.247463,0.626332,0.723412,-0.189031,1.338333,0.364942,-0.114634,0.021478,0.612765,buggy
0.962666,-0.9703,0.931579,-0.094379,-0.159533,0.266119,-0.702121,0.13366,0.284392,clean
4.129075,-0.727433,0.190434,-0.199808,-0.932305,0.210591,1.714477,0.320918,0.646935,clean
-1.021845,-1.52969,-0.695935,0.240543,-0.246742,-0.635591,1.713279,0.032054,-0.299388,clean
0.477011,-1.522016,-0.217657,-0.411648,-0.133334,-0.645826,0.90842,-0.582944,-0.367852,clean
-1.360813,-1.574609,-0.129491,-0.87103,-1.220244,-0.082369,1.511097,0.230693,0.388023,clean
-0.092967,0.621169,4.554153,2.397089,-0.60047,0.235689,-0.069656,-0.854315,0.040857,clean
-1.758091,-1.040664,1.06828,-2.389573,-2.198807,0.84585,-3.013421,-0.404344,-0.679148,clean
-2.704005,2.237123,-0.783801,-1.79674,-0.434712,0.580229,0.751113,0.384877,0.349946,clean
-1.652538,0.921883,0.223404,0.794378,0.858312,-0.648302,-0.398116,-0.873539,0.062504,clean
0.58195,0.598695,-1.118836,2.290255,-0.7768,1.130824,-0.254246,-0.339015,-0.816355,clean
-2.133128,-0.41764,-0.027863,-0.855995,-0.630878,0.101818,-2.269024,-0.991091,-0.033506,clean
1.087951,1.590715,-0.020136,0.375612,1.022012,0.087537,-0.734752,1.389507,0.003363,buggy
-3.255569,0.368116,-1.257633,-2.083155,-1.125037,0.343806,-1.282589,-0.844293,0.616786,clean
2.229022,-1.863467,0.910227,-0.215845,-0.42387,-0.438502,1.181814,0.247992,0.119813,clean
4.013181,-1.658931,0.334593,-0.868026,0.663208,0.587924,0.173289,0.511204,-0.735272,clean
5.762369,-0.908326,-2.345474,-1.332825,1.786065,1.287531,0.809738,-1.743293,-0.005127,clean
-1.421134,0.967758,1.307162,1.238618,0.536541,-0.549391,-0.103257,-1.465499,-0.057471,clean
-2.107623,-0.698519,-0.875745,0.810877,0.539795,-0.975655,-0.47753,-0.360135,0.344184,clean
-3.031017,2.083269,-0.590835,-2.139509,-0.439354,0.288479,0.258579,-1.237311,0.079594,clean
-3.199883,2.328024,-0.836322,-1.792854,-1.169087,0.118461,0.196402,-0.986169,0.427597,clean
0.970006,-0.815478,-0.039815,0.920151,0.765646,1.188567,0.039141,-0.166126,0.991851,clean
-0.694692,2.823302,-1.90282,1.844285,-1.686922,-1.347516,-0.161612,0.377065,1.512589,clean
-1.043355,-1.569379,0.063306,0.272312,-0.250067,-0.793083,-1.360473,-0.273481,-0.561933,clean
-1.087216,1.29931,-0.446496,0.677495,1.270259,-0.459536,0.311517,1.038225,-0.150836,buggy
-0.42289,0.943108,-0.95937,1.04814,1.816784,0.953211,0.497937,0.219444,0.740164,clean
-1.527257,-0.652135,-0.373227,1.219217,0.73259,-0.515161,0.44922,-0.063292,-0.031315,clean
-1.587373,1.420117,-0.867286,1.32601,0.623929,-1.179254,0.000709,0.279669,0.107413,clean
1.36555,-2.893664,0.565871,-1.549783,-1.413596,0.723407,-1.030001,1.203198,-0.322223,clean
1.102559,-2.143077,-0.331948,-0.245367,0.119156,-0.030039,-0.738092,0.113984,-0.449927,clean
-0.247979,-1.098218,0.08206,0.249024,0.216747,-0.635391,-0.104693,0.479952,-0.277974,clean
-0.502039,1.00503,0.08217,1.184755,1.732296,1.192162,-0.354374,0.267493,0.371937,clean
-3.214558,1.975613,-0.498561,-1.994671,-0.405732,0.470883,0.361066,-0.749053,0.162828,clean
0.819818,-2.510799,0.967977,-0.035648,-0.822529,-0.357175,-1.026033,0.670163,-0.822162,buggy
3.162692,1.717842,0.630244,0.730564,1.625037,2.018512,-0.735024,0.090207,1.491458,buggy
0.098267,-3.908397,-1.23844,-0.023325,-1.063493,-0.300827,1.234653,0.044424,-0.524819,clean
-0.620381,-1.891441,-0.867666,0.472545,0.16664,0.031775,0.144149,-0.63151,0.396192,clean
13.27541,7.631928,-2.438605,-3.480981,-2.328023,-4.608523,-1.241863,-0.195303,-0.190654,buggy
-1.483252,-1.448846,-0.312341,0.359828,-0.13194,-0.844036,-0.830683,-0.423453,-0.346427,clean
-0.94185,1.417893,0.847861,0.905016,0.587452,-0.824148,0.787046,0.346901,-0.160122,clean
0.091279,1.010445,4.960022,2.325699,-1.459357,-0.718973,0.292895,-0.83288,-0.196017,clean
0.427665,-3.495172,-1.529758,0.000025,-0.743996,-0.317552,1.838734,0.054899,0.254978,clean
2.332543,-0.640744,1.080512,0.223555,0.21749,0.424733,-0.202927,0.438289,0.323202,clean
-3.016073,1.785968,-1.041259,-1.750302,0.579193,1.2281,0.946552,2.370142,0.186271,clean
2.372757,1.440519,-0.221855,-0.800767,1.821378,-1.117784,0.917732,0.663358,-1.597989,clean
0.152746,1.597917,0.187135,-0.173773,1.487454,-0.932401,0.311519,0.976558,-1.190929,clean
-2.114476,0.959838,-0.339234,1.52278,0.986427,-1.091671,-0.117883,-0.226731,-0.477745,clean
0.337643,-0.582401,-0.613781,-0.258774,0.815013,-0.121946,0.488857,0.588124,-0.558221,clean
-1.896866,2.283085,-0.822499,-2.182558,0.402795,0.696484,1.117542,0.68343,-0.01326,clean
3.370525,1.445517,3.831126,2.398152,0.268571,4.063824,-0.531737,-0.840833,0.982296,buggy
-1.588407,2.023492,1.81187,-1.859679,-0.79004,0.72988,1.070735,0.377957,-0.215112,clean
-0.713138,-1.86593,-0.755135,0.100122,0.065908,-0.372297,0.205685,0.503015,-0.308799,clean
-0.474598,-1.114916,-0.436156,0.053034,0.059032,-0.421841,-0.580093,0.924568,-0.19948,clean
-2.098762,-0.748501,0.130364,-2.367435,-1.71005,0.829858,-2.066274,-0.755785,-0.046147,clean
-0.420383,-0.479983,-0.455745,0.688839,0.825535,0.137679,-0.64496,0.194655,0.782703,clean
1.77456,0.03585,-0.60444,0.501801,1.179379,1.076626,-1.120005,0.452757,1.031451,clean
-1.971544,1.067022,0.128676,0.881569,1.035457,-0.902648,0.275462,0.244302,-0.543436,clean
2.607044,-0.793227,-0.738428,-0.226502,1.493556,0.751519,-1.025869,0.509212,0.71016,clean
1.6691,2.360495,1.277069,1.036157,-0.225792,-1.367407,1.137233,0.466991,0.476239,clean
2.040877,-1.120509,-0.007383,-0.000496,0.768904,0.394745,-0.578539,0.016902,0.305677,buggy
0.859685,-3.879542,0.509968,-0.179532,-1.616279,-0.258524,0.818891,-0.369549,-0.518039,clean
1.56848,1.660481,0.205297,0.836591,2.344891,1.470136,0.500042,-0.769023,0.857155,buggy
-0.656634,0.975405,3.051344,1.006514,-0.262593,-0.812751,0.074853,0.343239,-1.000186,clean
-0.270102,-2.559196,-0.009993,0.011156,-0.673832,-0.47552,-1.207479,-0.322056,-0.678533,clean
0.229527,-0.704364,1.448309,-0.428861,-0.39804,-0.03646,-2.071837,1.630456,-0.485758,clean
-3.58029,1.873746,-0.343916,-2.061801,-0.369363,0.36026,0.349341,-1.131639,-0.033722,clean
-1.542197,1.46241,-0.733548,0.579131,0.910758,-0.810703,0.081529,-0.391677,-0.481527,clean
-2.041573,0.894735,0.428692,1.242339,0.784773,-1.235971,-0.161928,-0.087402,-0.706677,clean
-2.512004,1.10799,-0.457318,0.995513,0.921424,-1.267832,0.061732,-0.969862,-0.298187,clean
-2.508886,1.943884,2.356868,-1.463351,-1.327309,0.783053,1.545505,-0.571892,0.29628,clean
0.600813,-1.656246,-0.680931,-0.385199,0.261521,-0.083799,0.290367,-0.627629,-0.46482,clean
-1.219392,-0.648975,-0.436168,0.469428,0.534061,-0.5833,-0.845956,0.28241,0.16191,clean
1.495167,-3.405619,-1.175849,-0.024312,-0.174802,0.267025,1.40886,-0.387507,0.520346,clean
0.790794,1.973726,-0.458238,0.434362,1.014652,-0.222126,0.22237,0.336686,0.236741,buggy
-1.729427,-0.146304,0.015088,-0.994434,-0.525076,0.472298,-1.532181,0.703619,0.477025,clean
2.950885,5.485996,-5.517987,5.794037,-4.79699,5.054299,-0.26623,-0.495299,-3.197821,clean
0.28315,-1.747701,-0.429693,0.597002,0.347008,0.458489,-0.713465,0.285139,0.984929,clean
-1.769884,-0.849653,-0.814414,-0.497495,-0.611071,-0.481937,-0.156564,0.039421,0.345043,clean
0.387126,-2.811518,-0.26972,-0.045713,-0.58124,-0.416164,0.632551,0.05737,-0.251561,clean
11.288641,0.697099,-1.187334,-3.435409,3.17934,0.788579,-0.013103,-3.159098,-0.850814,clean
2.60286,1.937721,-4.71156,2.425456,-4.503335,-2.19454,-0.099222,1.211121,3.188923,clean
2.994815,1.795431,3.541612,-0.17144,-1.350681,0.429192,-0.853286,0.651964,1.53388,buggy
-1.526745,-0.813696,0.193248,0.856969,-0.07469,-1.152613,0.17372,-1.328722,0.064685,clean
1.082941,2.319308,1.010673,-1.253195,0.972879,0.451489,0.782287,-0.060816,-0.000492,clean
