@relation data/M_multi_metrics_PDE.csv-weka.filters.unsupervised.attribute.Remove-R1

@attribute ck_oo_numberOfPrivateMethods numeric
@attribute LDHH_lcom numeric
@attribute LDHH_fanIn numeric
@attribute numberOfNonTrivialBugsFoundUntil: numeric
@attribute WCHU_numberOfPublicAttributes numeric
@attribute WCHU_numberOfAttributes numeric
@attribute CvsWEntropy numeric
@attribute LDHH_numberOfPublicMethods numeric
@attribute WCHU_fanIn numeric
@attribute LDHH_numberOfPrivateAttributes numeric
@attribute CvsEntropy numeric
@attribute LDHH_numberOfPublicAttributes numeric
@attribute WCHU_numberOfPrivateMethods numeric
@attribute WCHU_numberOfMethods numeric
@attribute ck_oo_numberOfPublicAttributes numeric
@attribute ck_oo_noc numeric
@attribute numberOfCriticalBugsFoundUntil: numeric
@attribute ck_oo_wmc numeric
@attribute LDHH_numberOfPrivateMethods numeric
@attribute WCHU_numberOfPrivateAttributes numeric
@attribute CvsLogEntropy numeric
@attribute WCHU_noc numeric
@attribute LDHH_numberOfAttributesInherited numeric
@attribute WCHU_wmc numeric
@attribute ck_oo_fanOut numeric
@attribute ck_oo_numberOfLinesOfCode numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute ck_oo_numberOfMethods numeric
@attribute ck_oo_dit numeric
@attribute ck_oo_fanIn numeric
@attribute LDHH_noc numeric
@attribute WCHU_dit numeric
@attribute ck_oo_lcom numeric
@attribute WCHU_numberOfAttributesInherited numeric
@attribute ck_oo_rfc numeric
@attribute LDHH_wmc numeric
@attribute LDHH_numberOfAttributes numeric
@attribute LDHH_numberOfLinesOfCode numeric
@attribute WCHU_fanOut numeric
@attribute WCHU_lcom numeric
@attribute ck_oo_cbo numeric
@attribute WCHU_rfc numeric
@attribute ck_oo_numberOfAttributes numeric
@attribute numberOfHighPriorityBugsFoundUntil: numeric
@attribute ck_oo_numberOfPrivateAttributes numeric
@attribute numberOfMajorBugsFoundUntil: numeric
@attribute WCHU_numberOfPublicMethods numeric
@attribute LDHH_dit numeric
@attribute WCHU_cbo numeric
@attribute CvsLinEntropy numeric
@attribute WCHU_numberOfMethodsInherited numeric
@attribute numberOfBugsFoundUntil: numeric
@attribute LDHH_fanOut numeric
@attribute LDHH_numberOfMethodsInherited numeric
@attribute LDHH_rfc numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute ck_oo_numberOfPublicMethods numeric
@attribute LDHH_cbo numeric
@attribute WCHU_numberOfLinesOfCode numeric
@attribute CvsExpEntropy numeric
@attribute LDHH_numberOfMethods numeric
@attribute class {buggy,clean}

@data
0,0,0,0,0,0,0.000312,0,0,0,1.77712,0,0,0,0,0,0,2,0,0,0.06092,0,0,0,1,15,0,2,1,1,0,0,1,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.009619,1.01,0,0,0.001646,0,7,2,0,0,0.030953,0,clean
0,0,0,1,0,0,0.003182,0,0,0,5.70432,0,0,0,0,0,0,3,0,0,0.157991,0,0,0,5,17,0,2,2,1,0,0,1,0,10,0,0,0,1.01,0,6,1.01,1,0,1,0,0,0,1.01,0.016726,0,1,0.001234,0,0.00114,4,1,0.001332,0,0.035389,0,buggy
0,0,0,2,0,0,0.001672,0,0,0,3.1496,0,0,0,0,0,0,5,0,0,0.101419,0,0,0,4,20,1,2,2,1,0,1.01,1,0,10,0,0,0.001481,2.02,0,5,1.01,0,0,0,0,0,0.00166,2.02,0.014346,1.03,2,0.003567,0.002071,0.00154,3,2,0.003986,1.01,0.039834,0,clean
0,0,0,0,0,0,0.006706,0,0,0,8.14056,0,0,0,0,0,0,60,0,0,0.206728,0,0.000762,0,14,191,20,24,5,2,0,0,276,1.01,116,0,0,0.000598,3.03,0,16,1.01,9,0,9,0,0,0,3.03,0.017771,2.07,0,0.002537,0.002409,0.000805,90,22,0.002318,1.01,0.031407,0,clean
7,0.004555,0,1,0,1.01,0.067433,0.001685,0,0.00149,9.57998,0,2.03,3.06,0,0,0,30,0.003022,1.01,0.2679,0,0.001986,3.12,14,233,0,13,3,1,0,0,78,1.01,84,0.006504,0.001492,0.012575,4.07,3.77,15,4.35,9,0,9,0,1.02,0,4.07,0.029185,3.04,4,0.006107,0.005131,0.007274,21,4,0.006511,6.99,0.063506,0.005078,buggy
1,0.00338,0.005532,5,0,3.05,0.063615,0.00345,4.04,0.003252,12.2306,0,1.01,3.08,0,3,0,22,0.001161,3.03,0.341364,1.01,0,6.25,6,98,0,12,1,5,0.000797,0,66,0,39,0.014263,0.002801,0.016136,3.06,3.6,11,3.35,5,0,3,0,3.05,0,4.1,0.037391,0,8,0.003842,0,0.003634,0,9,0.005522,8.13,0.085691,0.003662,clean
0,0,0.00243,0,0,0,0.010836,0,1.01,0,3.11109,0,0,0,0,0,0,2,0,0,0.100341,0,0.002859,0,3,7,8,2,3,2,0,0,1,1.07,5,0,0,0.004532,0,0,5,0,2,0,2,0,0,0,1.01,0.014144,1.06,1,0,0.002598,0,39,2,0.002537,1.01,0.038692,0,clean
0,0,0.007082,1,0,0,0.024357,0,2.02,0,4.02695,0,0,0,0,0,0,1,0,0,0.09399,0,0,0,0,3,1,2,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02,0.005597,1.01,1,0,0.001646,0,18,1,0.007571,0,0.000503,0,buggy
0,0.002821,0.014049,1,0,1.01,0.043605,0.002945,8.16,0.0007,19.1174,0,0,2.02,0,9,0,6,0,1.01,0.481436,6.06,0,2.02,1,25,0,7,1,17,0.011634,0,21,0,14,0.002996,0.000752,0.010829,2.02,2.11,18,4.1,2,0,2,0,2.02,0,9.18,0.038785,0,3,0.002884,0,0.005125,0,4,0.01624,5.39,0.046112,0.003152,clean
1,0.006896,0.00494,9,0,5.31,0.369512,0.003367,6.1,0.003396,25.1599,0,7.22,10.4,0,2,0,53,0.003867,7.38,0.623979,0,0,13.36,10,199,0,29,2,9,0,1.01,406,0,126,0.008814,0.002315,0.014049,11.22,23.64,17,16.41,6,0,1,0,6.17,0.00037,12.22,0.047506,2.03,11,0.009579,0.000981,0.009963,3,4,0.010917,20.01,0.046519,0.007577,buggy
2,0,0,2,0,0,0.00455,0,0,0,5.77294,0,0,0,0,2,0,10,0,0,0.167957,0,0.008453,0,7,53,7,6,2,0,0,0,15,2.02,37,0,0,0.004532,0,0,7,0,1,0,0,0,0,0,0,0.019283,4.06,2,0,0.012184,0,32,2,0,1.01,0.03939,0,buggy
7,0,0,0,0,0,0.019358,0,0,0,7.26892,0,0,0,0,0,0,30,0,0,0.188027,0,0,0,12,84,0,9,1,1,0,0,36,0,62,0,0,0.005824,1.02,0,13,1.06,3,0,2,0,0,0,1.02,0.017213,1.01,0,0.000729,0.001646,0.000838,6,2,0.00086,2.07,0.034363,0,clean
0,0.001314,0.001762,0,0,1.02,0.012883,0.001076,1.01,0.00151,9.37455,0,0,1.01,0,0,0,15,0,1.02,0.251853,0,0,1.02,4,58,0,8,3,2,0,0,28,0,27,0.001441,0.00156,0.001411,0,1.07,6,1.01,5,0,5,0,1.01,0,1.01,0.02454,1.01,1,0,0.001646,0.001425,23,8,0.001764,1.08,0.043453,0.001378,clean
0,0,0.00135,0,0,0,0.003968,0,1.01,0,6.42599,0,0,0,0,0,0,10,0,0,0.168539,0,0,0,8,36,0,8,2,4,0,0,28,0,36,0,0,0.004532,0,0,12,0,1,0,0,0,0,0,1.01,0.015846,1.01,0,0,0.001646,0,20,8,0.001451,1.05,0.031381,0,clean
0,0,0,1,0,0,0.002317,0,0,0,5.98276,0,0,0,0,18,0,4,0,0,0.159804,7.1,0,0,1,12,0,4,5,0,0.003135,1.01,6,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0.000706,0,0.015881,2.03,1,0,0.001535,0,16,3,0,0,0.034432,0,clean
0,0,0,1,0,0,0.00475,0,0,0,5.65358,0,0,0,0,46,0,3,0,0,0.13134,13.13,0,0,0,7,0,3,1,0,0.018413,0,3,0,3,0,0,0.000789,0,0,0,0,0,0,0,0,0,0,0,0.00769,1.01,1,0,0.001646,0,6,3,0,1.02,0.000587,0,clean
0,0,0,1,0,0,0.028313,0,0,0,4.77474,0,0,0,0,0,0,14,0,0,0.143885,0,0,0,4,136,0,8,1,1,0,0,28,0,44,0,0,0.006883,0,0,5,0,5,0,5,0,0,0,0,0.017848,0,1,0,0,0,0,2,0,2.15,0.040995,0,clean
18,0.002694,0,5,0,1.04,0.24729,0.001089,0,0.000273,11.5775,0,2.07,2.08,0,0,0,92,0.002564,1.04,0.326755,0,0.001986,4.49,29,482,2,29,5,2,0,0,406,1.01,200,0.005764,0.000547,0.012517,2.11,3.96,30,5.09,15,0,15,0,1.01,0,2.1,0.034437,4.35,7,0.002189,0.009652,0.005462,75,7,0.002366,7.32,0.054811,0.002885,clean
0,0,0,0,0,0,0.002636,0,0,0,6.41569,0,0,0,0,0,0,3,0,0,0.169334,0,0,0,1,20,0,2,1,0,0,0,1,0,8,0,0,0.004997,0,0,1,0,0,0,0,0,0,0,0,0.016324,0,0,0,0,0,0,2,0,1.02,0.034357,0,clean
0,0.008192,0,2,0,0,0.039517,0,0,0,16.1857,0,0,1.01,0,0,0,5,0,0,0.429977,0,0,3.06,5,41,0,5,1,1,0,0,10,0,19,0.010072,0,0.015601,2.02,1.04,6,4.1,4,0,4,0,0,0,2.02,0.044419,0,2,0.001874,0,0.01021,0,1,0.002066,4.3,0.101605,0.00887,clean
0,0,0.001075,1,0,0,0.003336,0,1.01,0,4.50833,0,0,0,0,0,0,5,0,0,0.126122,0,0,0,0,15,0,6,1,1,0,0,15,0,6,0,0,0,0,0,1,0,2,0,2,0,0,0,1.01,0.013761,1.01,1,0,0.001646,0,6,5,0.001,0,0.03137,0,clean
0,0,0,2,0,0,0.037745,0,0,0,5.82803,0,0,0,0,0,0,9,0,0,0.203738,0,0,1.02,8,80,0,2,1,1,0,0,1,0,38,0.006027,0,0.013434,0,0,9,2.04,0,0,0,0,0,0,0,0.033997,0,4,0,0,0.008733,7,2,0,3.18,0.111609,0,clean
6,0.007336,0.006355,8,0,3.03,0.106021,0.002406,4.04,0.001406,19.2704,0,1.02,5.07,0,2,0,65,0.000711,2.02,0.561836,1.01,0,7.29,13,250,0,23,1,4,0.002064,0,253,0,140,0.014381,0.007673,0.0203,3.05,6.33,17,8.59,5,0,3,1,3.03,0,6.07,0.068253,1.05,9,0.004771,0.001646,0.01582,30,10,0.010728,10.14,0.162104,0.007859,clean
0,0.003957,0,3,0,1.01,0.009116,0,0,0.002596,4.0222,0,0,1.01,0,0,0,4,0,1.01,0.137003,0,0,1.01,1,38,0,3,1,0,0,0,3,0,9,0.004112,0.003064,0.007821,1.01,1.02,1,1.03,1,0,1,0,0,0,1.01,0.021448,0,3,0.003995,0,0.004128,0,1,0.004579,2.08,0.067993,0.004216,buggy
0,0,0,0,0,0,0.005149,0,0,0,3.05459,0,0,0,0,1,0,10,0,0,0.103073,0,0,0,2,55,0,7,1,2,0,0,21,0,25,0,0,0,0,0,4,0,3,0,2,0,0,0,0,0.015822,0,1,0,0,0,0,2,0,0,0.048942,0,clean
1,0,0,1,0,0,0.026678,0,0,0,12.8088,0,0,0,0,0,0,15,0,0,0.34727,0,0,0,4,47,2,5,2,0,0,0,10,0,25,0,0,0.006593,3.04,0,4,3.06,0,0,0,0,0,0,3.04,0.034019,2.02,2,0.003696,0.002352,0.002571,7,1,0.003512,3.07,0.055539,0,clean
6,0.00103,0.019025,2,0,0,0.036498,0.001089,12.14,0,8.4335,0,1.01,1.02,0,11,0,68,0.000867,0,0.223727,6.06,0,2.05,6,230,0,29,1,20,0.012254,0,406,0,129,0.001774,0,0.007511,1.01,1.55,26,1.12,5,0,5,0,1.01,0,13.15,0.021548,1.01,3,0.000928,0.001646,0.000971,6,21,0.021249,4.39,0.041134,0.001128,clean
7,0.011278,0,2,1.02,2.05,0.046009,0,0,0.007749,4.3791,0.003417,1.04,2.05,2,0,0,30,0.003473,2.03,0.175778,0,0,3.16,5,226,0,12,1,1,0,0,66,0,53,0.016492,0.0084,0.018591,1.04,2.45,6,2.28,13,0,11,0,0,0,1.04,0.036692,0,3,0.002771,0,0.011174,0,1,0.003309,4.14,0.139632,0.011959,clean
0,0.00103,0,1,0,0,0.040444,0,0,0,9.58809,0,2.02,1.02,0,0,0,13,0.001557,0,0.257069,0,0,3.07,6,44,2,5,2,0,0,0,10,0,28,0.002674,0,0.00752,1.01,1.11,6,3.25,0,0,0,0,0,0,1.01,0.024989,2.02,2,0.000928,0.002352,0.002523,7,1,0.001069,4.38,0.046032,0.001128,clean
4,0,0,2,0,0,0.093037,0,0,0,8.24327,0,0,0,0,2,0,13,0,0,0.228435,0,0,0,3,152,0,12,1,1,0,0,66,0,47,0,0,0.000947,1.01,0,4,1.01,6,0,5,0,0,0,1.01,0.023735,1.01,2,0.000547,0.001646,0.000911,6,5,0.001303,1.01,0.043708,0,buggy
0,0,0,0,0,0,0.000075,0,0,0,1.76682,0,0,0,0,0,0,1,0,0,0.061715,0,0.000882,0,0,3,3,1,2,0,0,0,0,1.03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010097,5.08,0,0,0.007324,0,20,1,0,0,0.033928,0,clean
0,0,0,1,2.02,2.02,0.003447,0,0,0,5.98814,0.005949,0,0,11,0,0,0,0,0,0.189977,0,0,0,0,0,0,1,1,6,0,0,0,0,1,0,0.006809,0,0,0,6,0,11,0,0,0,0,0,0,0.027985,1.01,2,0,0.001646,0,6,1,0,0,0.087151,0,buggy
1,0.012245,0.002837,5,0,1.02,0.08323,0.001076,2.02,0.00151,15.3807,0,1.01,3.08,0,0,0,13,0.00337,1.02,0.428461,2.02,0,3.1,3,63,0,11,1,1,0.001591,0,55,0,35,0.013168,0.00156,0.014227,2.03,3.52,4,4.26,3,0,3,0,1.04,0,3.03,0.049206,0,5,0.00244,0,0.013221,0,5,0.003333,5.39,0.121265,0.013715,clean
1,0.000669,0.000732,2,0,1.01,0.011532,0.000777,1.01,0.002713,10.231,0,0,1.01,0,2,0,19,0,1.01,0.264389,0,0.002952,2.02,5,64,1,11,4,4,0,0,55,2.02,32,0.00158,0.001748,0.006078,1.01,1.11,9,2.02,4,0,3,0,1.01,0,2.02,0.023697,4.07,2,0.001011,0.005866,0.001511,65,10,0.001921,3.08,0.042078,0.000777,clean
2,0.00209,0.000807,1,0,0,0.01644,0,1.01,0,10.9524,0,1.02,2.03,0,0,0,5,0.000784,0,0.283022,0,0,2.03,6,38,0,5,2,2,0,0,10,0,15,0.002454,0,0.008038,4.04,2.09,8,4.11,3,0,2,0,0,0,4.05,0.025295,8.18,1,0.005485,0.012269,0.00489,28,1,0.004692,4.39,0.042665,0.00237,clean
1,0.002749,0.016667,4,0,2.03,0.020496,0.002273,14.16,0.002392,13.3755,0,1.01,4.04,0,0,0,27,0.000253,3.05,0.330495,2.02,0,5.14,9,76,0,13,1,7,0.000772,0,78,0,50,0.004077,0.00164,0.00419,3.04,4.43,16,4.22,4,0,2,0,3.03,0,16.2,0.025459,1.05,4,0.002823,0.001646,0.003635,30,12,0.020097,5.34,0.032299,0.003129,clean
0,0,0.001689,0,0,0,0.002624,0,2.02,0,6.42599,0,0,0,0,0,0,3,0,0,0.168539,0,0.000966,0,2,11,2,4,8,4,0,0,6,1.01,7,0,0,0,0,0,6,0,1,0,1,0,0,0,2.02,0.015846,6.13,0,0,0.00835,0,219,4,0.001672,0,0.031381,0,clean
0,0,0.000611,0,0,0,0.010288,0,1.01,0,4.8313,0,0,0,0,0,0,8,0,0,0.130281,0,0,1.02,1,23,0,2,1,2,0,0,1,0,7,0.000703,0,0.000578,0,0,3,0,1,0,1,0,0,0,1.01,0.013612,0,0,0,0,0,0,2,0.000527,1.02,0.033993,0,clean
1,0,0,3,0,0,0.025599,0,0,0,11.4311,0,0,0,0,0,0,24,0,0,0.293069,0,0,1.01,9,89,2,12,3,1,0,0,66,0,44,0.002309,0,0.008044,2.02,0,10,3.08,3,0,3,0,0,0,2.02,0.026063,0,3,0.001418,0,0.003812,19,9,0.001217,3.11,0.04934,0,buggy
4,0.001733,0,1,0,1.01,0.016912,0.001766,0,0.001799,4.82617,0,0,1.04,0,0,0,16,0,1.01,0.148137,0,0,1.05,6,67,0,10,1,1,0,0,45,0,26,0.00193,0.001649,0.006883,0,1.3,7,1.04,2,0,2,0,1.04,0,0,0.018977,0,3,0,0,0.00191,6,6,0,2.23,0.044745,0.00182,clean
0,0.001949,0.0027,1,0,0,0.013479,0.002033,2.02,0,6.41247,0,0,1.02,0,0,0,6,0,0,0.18365,0,0,1.02,2,19,0,6,2,6,0,0,15,0,8,0.001991,0,0.001925,1.01,1.09,8,1.03,3,0,3,0,1.02,0,2.03,0.020532,3.07,1,0.002143,0.004833,0.001976,24,6,0.002886,1.06,0.041567,0.00211,clean
0,0.002054,0.002586,4,0,0,0.025081,0.000909,2.02,0,17.5389,0,0,2.03,0,2,0,4,0,0,0.450224,0,0.001203,2.03,5,24,7,4,3,0,0,0,6,1.01,13,0.00225,0,0.009088,3.03,2.15,5,4.11,0,0,0,0,1.01,0,4.05,0.03825,3.03,5,0.004044,0.004301,0.004969,32,1,0.004968,4.2,0.049022,0.002174,clean
2,0,0,0,0,0,0.010498,0,0,0,6.13795,0,0,0,0,0,0,18,0,0,0.167716,0,0,0,8,122,0,12,1,1,0,0,66,0,52,0,0,0.004997,0,0,8,0,6,0,6,0,0,0,0,0.017199,0,0,0,0,0,0,10,0,1.05,0.035156,0,clean
2,0.002196,0,2,0,0,0.070179,0.002705,0,0,3.03875,0,1.02,1.05,0,0,0,34,0.002741,0,0.102722,0,0,1.18,6,127,0,9,1,2,0,0,36,0,73,0.002686,0,0.002386,1.01,1.3,8,1.44,1,0,1,0,1.03,0,1.01,0.015791,0,2,0.002338,0,0.002474,6,7,0.0029,1.73,0.04901,0.00285,buggy
1,0.001132,0,4,0,0,0.024539,0,0,0,16.0268,0,1.01,1.01,0,1,0,11,0.001242,0,0.421753,0,0.001203,1.01,4,55,6,7,2,2,0,0,21,1.01,25,0.001243,0,0.010688,1.01,1.06,6,3.06,1,0,0,1,0,0,1.01,0.038199,3.03,5,0.001815,0.004301,0.004191,26,4,0.001643,5.16,0.05262,0.001267,clean
0,0.001287,0.001649,3,0,2.02,0.06121,0.001226,2.02,0.001256,11.181,0,0,2.03,0,0,0,56,0,2.02,0.273962,0,0.001305,2.06,9,208,33,26,4,5,0,0,325,2.02,123,0.001429,0.001272,0.006553,3.03,2.77,14,4.13,10,1,10,1,2.03,0,5.05,0.021077,4.11,3,0.003339,0.004089,0.002801,78,24,0.005238,4.26,0.031444,0.001342,clean
0,0,0,1,0,0,0.00701,0,0,0,6.25954,0,0,0,0,3,0,4,0,0,0.187686,1.01,0.001203,0,2,22,7,4,4,1,0.001402,0,6,1.01,9,0,0,0.003404,0,0,3,0,0,0,0,0,0,0,0,0.022801,1.01,3,0,0.001736,0,36,2,0,2.03,0.048477,0,clean
0,0,0,2,0,0,0.003184,0,0,0,4.91442,0,0,0,0,0,0,9,0,0,0.148539,0,0,0,4,45,3,7,3,2,0,1.01,21,0,18,0,0,0.006676,0,0,6,0,3,0,2,0,0,0.001015,0,0.018511,1.01,2,0,0.001736,0,9,4,0,2.04,0.042564,0,clean
0,0,0,0,0,0,0.00582,0,0,0,1.56044,0,0,0,0,0,0,8,0,0,0.052586,0,0,0,2,29,13,8,5,1,0,0,28,0,14,0,0,0.003115,0,0,3,0,1,0,0,0,0,0,0,0.008031,2.04,2,0,0.005123,0,80,7,0,1.04,0.024708,0,clean
0,0,0,0,0,0,0.00127,0,0,0,2.98549,0,0,0,0,0,0,10,0,0,0.089567,0,0,0,6,50,0,6,1,1,0,0,15,0,30,0,0,0.004997,1.01,0,7,0,8,0,8,0,0,0,1.01,0.01163,0,0,0.001563,0,0,0,6,0.001764,1.08,0.033976,0,buggy
2,0.002948,0.007774,8,0,2.03,0.08726,0.001708,3.06,0.001228,15.0607,0,1.01,3.09,0,5,0,70,0.001809,2.04,0.40016,0,0,6.28,12,313,0,35,3,10,0,0,595,0,117,0.007078,0.001726,0.010756,3.03,5.7,22,6.42,15,0,13,0,1.04,0,5.09,0.036932,1.02,12,0.004691,0.002598,0.007099,14,16,0.01061,7.16,0.051975,0.003359,clean
2,0,0,0,0,0,0.003018,0,0,0,3.17095,0,0,0,0,0,0,15,0,0,0.098286,0,0,0,3,50,0,7,1,1,0,0,21,0,29,0,0,0.004997,0,0,4,0,2,0,2,0,0,0,0,0.013117,0,0,0,0,0,6,5,0,1.01,0.035415,0,clean
3,0,0,3,0,0,0.014798,0,0,0,6.08326,0,0,0,0,0,0,21,0,0,0.178371,0,0,1.03,7,71,0,5,1,3,0,0,10,0,46,0.001313,0,0.006457,1.04,0,9,2.08,0,0,0,0,0,0,1.04,0.02083,0,3,0.002006,0,0.002767,0,2,0.001619,2.24,0.043326,0,clean
29,0.001928,0,6,0,2.14,0.168814,0.001933,0,0.002717,9.50088,0,1.11,2.25,0,2,0,74,0.00068,2.08,0.276775,0,0,2.49,15,387,0,41,1,0,0,0,820,0,165,0.002713,0.001815,0.009388,2.02,10.41,15,3.96,15,0,10,0,2.16,0,2.02,0.031553,2.17,6,0.003049,0.001633,0.004781,9,12,0.002975,7.05,0.060442,0.002415,clean
2,0.003717,0.008619,10,0,0,0.146628,0.00333,4.06,0,23.0493,0,4.05,4.1,0,0,0,74,0.004075,0,0.637645,0,0,11.42,15,241,0,8,1,12,0,0,28,0,142,0.021447,0,0.027221,6.1,4.79,26,13.09,0,0,0,1,4.07,0,9.15,0.06736,1.01,10,0.009715,0.001646,0.023218,6,6,0.015433,14.78,0.13037,0.003818,buggy
