@relation 'data/M_multi_metrics_PDE.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R62-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-18'

@attribute 0.194WCHU_numberOfLinesOfCode... numeric
@attribute -0.361WCHU_numberOfPublicAttributes... numeric
@attribute 0.371WCHU_fanIn... numeric
@attribute 0.403ck_oo_numberOfMethodsInherited... numeric
@attribute -0.317ck_oo_numberOfMethods... numeric
@attribute -0.486WCHU_noc... numeric
@attribute 0.433LDHH_numberOfAttributesInherited... numeric
@attribute 0.297WCHU_numberOfAttributesInherited... numeric
@attribute -0.277numberOfHighPriorityBugsFoundUntil:... numeric
@attribute 0.506LDHH_dit... numeric
@attribute 0.305numberOfCriticalBugsFoundUntil:... numeric
@attribute -0.5LDHH_numberOfPrivateAttributes... numeric
@attribute -0.346ck_oo_numberOfAttributesInherited... numeric
@attribute 0.317ck_oo_numberOfAttributesInherited... numeric
@attribute -0.523LDHH_fanOut... numeric
@attribute -0.381ck_oo_numberOfPublicMethods... numeric
@attribute 0.447ck_oo_dit... numeric
@attribute class {buggy,clean}

@data
-1.520021,0.28365,0.639235,0.35136,0.449328,0.125627,-0.081203,-1.054379,0.343981,-0.550229,-0.142735,0.409726,0.481572,-0.427729,-0.056329,-0.200823,-0.506838,clean
0.057144,-0.122382,0.502077,0.75573,1.583701,-0.479458,-0.257339,0.461627,1.079727,-0.465568,-0.860345,0.673479,0.3395,0.571583,-0.035063,0.140054,-0.128568,clean
-2.229508,0.080567,-0.565976,-1.22315,-1.32954,0.4766,0.238171,-0.268251,-0.694613,0.136596,0.185501,-0.071011,0.530722,0.514556,0.112692,-0.196461,0.060667,clean
-0.540009,0.334244,-0.527818,-1.25058,-0.124801,-0.002732,0.168641,-0.607134,-0.510444,0.021331,0.203214,1.30016,-0.522303,-0.775049,-0.530112,0.03244,-0.384515,buggy
-0.38009,-0.463766,-0.391912,0.209813,0.94878,-0.221281,-0.198963,1.17386,0.621691,-0.31772,-0.305431,0.297572,0.340159,0.127068,0.466358,-0.653647,0.234543,clean
2.734272,1.19468,0.000359,2.443204,-2.605704,1.882951,0.359124,-0.374348,-1.867919,-2.045557,0.507675,-0.73245,0.286815,1.978749,0.003369,-0.671531,0.19565,clean
-2.921669,-0.237617,0.538147,0.488708,-0.067062,-1.298827,0.393955,1.058088,0.107386,-0.397212,0.144731,0.01866,-0.36187,-0.159295,0.292741,0.051199,0.633875,clean
-2.60114,-0.088619,-0.453838,1.134577,0.756975,-0.173626,-1.417715,-0.359576,-1.345616,2.920529,1.342439,-0.454872,0.576925,0.007691,0.090134,-0.108745,0.875531,clean
-3.163471,0.253323,-0.345002,1.49036,-0.497421,0.282613,-0.271224,-0.100249,0.629249,-0.90425,0.618171,-0.070689,-0.828088,-0.231445,0.043485,-0.268721,0.592598,clean
-2.628239,0.024664,-0.194498,-1.265452,-0.477495,0.421131,0.315252,-0.356049,-0.58396,0.178724,-0.02182,-0.378778,0.049446,0.566649,-0.209296,-0.160911,-0.20986,buggy
5.381885,0.847425,-0.085633,-0.497127,-3.276993,-0.235622,0.036563,-1.349262,-0.590461,-0.16299,-0.408529,-0.179606,0.063233,1.470841,0.19383,-1.137581,0.787131,clean
-2.992098,-0.076151,-0.240883,-1.177975,-0.284512,0.253961,0.138761,-0.123612,-0.502532,0.120898,0.186514,0.202423,0.034134,0.003542,0.028385,-0.070958,-0.139399,clean
-1.934123,-0.274373,-0.275638,-1.418459,0.133704,0.219476,-0.201621,0.510949,0.089083,0.402822,-0.130228,0.329081,0.073673,0.149548,-0.357406,0.572327,0.041893,clean
5.29785,1.022259,-3.133722,-1.382353,-5.047793,-0.159882,-0.260671,-1.1781,-2.422395,0.198492,-0.550431,-0.217453,0.311086,-0.184922,0.87014,0.336479,-1.757991,clean
8.893087,0.669815,0.243937,-1.941351,2.603217,-0.216242,-0.826107,0.717135,2.104264,0.375842,-0.501345,2.959637,0.00425,1.098054,-0.701046,0.674181,0.40454,buggy
0.190378,0.633409,-1.9165,-1.553376,-5.306087,1.11145,0.392915,-0.516978,-1.528338,0.55739,0.744622,-0.268289,1.297168,0.670328,0.272711,-1.047582,-0.423946,clean
18.942264,0.037033,-2.900707,-4.594868,3.39083,-0.611902,-2.922944,6.637908,2.325861,0.417576,0.717632,1.517932,-1.806423,1.453493,-1.698602,-0.482685,2.157139,buggy
6.729219,0.391824,-2.116285,1.85825,-2.37181,0.798063,-1.751986,0.844473,-0.778321,-1.815754,-1.148945,-1.271095,0.121637,-0.627727,0.279787,1.58515,1.330875,clean
1.123847,0.067589,-0.810373,-1.335959,-0.025138,0.152466,-0.732201,0.669512,0.5053,0.532569,-1.107008,-0.20475,-0.191967,0.985298,-0.855986,0.87793,0.159747,clean
-3.632107,-0.157012,0.029382,-0.451672,0.200441,0.215603,0.019362,-0.087556,-0.158488,-0.222976,0.313074,0.239198,-0.669524,-0.221543,-0.00976,-0.131532,0.369881,clean
-3.814581,-0.211376,0.113271,-0.72199,0.553046,0.070026,-0.319531,-0.109686,-0.431186,-0.130471,-0.266961,0.202685,-0.402332,-0.44551,-0.127025,-0.091472,-0.38425,clean
0.133666,0.033286,0.622045,-0.975542,0.170402,0.498566,-0.817328,0.343074,0.618584,0.297884,-0.758462,0.675097,0.492275,0.758721,-0.502696,0.678281,-0.399324,clean
-2.674689,-0.554443,-0.382215,-1.317432,0.065746,0.067684,0.079684,0.176736,-0.410804,0.145863,0.028895,0.226658,0.063619,0.058602,0.590748,0.037187,-0.49445,clean
18.564734,-1.705392,-5.497338,-2.05569,1.532399,-0.527991,1.668679,6.788292,5.868088,2.010495,1.492811,-1.208556,1.483778,-0.010561,0.239043,-0.827171,-1.216936,buggy
-3.591762,-0.286453,0.052595,-1.092587,0.374782,0.164796,-0.024998,-0.034889,-0.426294,0.049289,0.049325,0.347375,-0.301308,-0.280153,-0.146583,0.047167,-0.113142,clean
-2.30651,0.428409,0.227287,0.411176,1.267138,-0.673462,-1.457301,-0.864706,-2.004275,1.66053,-0.105455,-0.122991,-0.898077,-0.444793,-0.08174,-0.209294,0.353549,clean
-3.593934,-0.179921,-0.107102,0.121039,0.195144,0.157327,-0.294391,0.04381,0.384222,-0.578988,0.290346,-0.125848,-0.945144,-0.507762,0.135475,-0.030753,1.266811,clean
-3.554942,-0.375071,0.025995,-0.827848,0.5774,0.058649,0.030962,-0.010454,-0.195473,-0.092021,0.076881,0.181195,-0.313514,-0.033628,0.297347,-0.101568,-0.068135,clean
-2.074511,-0.291084,-0.139539,2.260129,1.48336,-0.18432,-1.121234,-0.793954,-2.651931,4.945661,1.671497,-1.229873,0.927795,0.179973,-0.086445,-0.219911,0.334792,clean
17.014857,0.115304,-2.485659,0.608359,6.183782,-2.770967,1.146555,-1.612862,1.263715,-0.957572,-3.32534,-1.239142,-4.372608,-0.025154,-0.175545,-2.342738,0.822504,clean
0.777898,0.478053,1.757533,-0.92957,0.536131,0.576007,0.497026,-1.432103,-0.317672,-0.304548,0.894251,2.210123,0.668393,-0.991343,-0.201979,0.64099,0.434886,clean
8.742664,1.909565,-4.661634,1.009054,-6.059103,0.390032,-0.769071,-0.135157,-0.376826,-0.021533,-1.147484,-0.480226,0.134504,-1.558628,0.210907,1.471535,-0.703135,clean
7.561853,1.051328,-3.966229,1.040323,-3.512439,-0.183424,-0.858059,1.226529,1.814274,0.174227,-0.445896,0.966315,0.923988,-1.278709,0.378556,0.299529,-0.070851,clean
5.167266,-0.065033,-1.796155,-1.982836,-0.2718,0.041906,0.77927,0.926044,0.173259,1.09057,-0.54301,-0.606494,-0.700319,-0.061624,1.079928,-0.328951,-0.939901,buggy
-1.217408,0.412323,-1.337429,1.184297,-2.707507,0.710342,-0.226511,0.22597,0.61173,-0.49942,0.679563,-0.530393,0.053083,0.140148,0.208027,0.430569,0.82754,clean
21.523257,-89.037969,7.86021,9.751136,-9.940556,1.763078,-3.831479,-1.493835,-2.28809,0.243344,-1.753091,3.439505,-3.625557,-2.951157,-5.098065,-0.307678,1.351001,buggy
-3.080914,-0.052016,0.320609,-1.259455,-0.01284,0.375538,0.085352,-0.140592,-0.331907,0.291636,0.123206,0.199805,-0.208213,-0.252267,-0.030814,-0.028305,-0.375418,clean
-1.582144,-0.030069,-0.444718,0.092891,0.777677,-0.22519,-0.754998,0.390353,0.802242,-0.260703,-0.561545,0.205583,-0.307157,-0.116522,0.475875,-0.024982,0.21558,clean
-3.359509,-0.312038,-0.008758,-1.19972,0.158681,0.193866,0.036928,-0.020642,-0.432474,0.170732,0.02678,0.234892,-0.173396,-0.253382,0.080172,0.020948,-0.247531,clean
0.069011,-0.350017,-1.682126,0.143502,-1.279302,0.341062,0.941721,0.885247,-0.132988,0.267947,-0.501559,-1.289864,0.63801,-0.267545,0.807866,1.258686,-0.363715,clean
-2.747476,0.129081,-0.13432,-1.100308,-0.958334,0.477247,0.149061,-0.277776,-0.569861,0.168561,0.305016,0.356063,0.136871,0.010405,-0.196223,-0.318255,0.175086,clean
-3.904094,0.01417,0.117209,-0.63142,0.153406,0.251439,-0.077059,-0.221756,-0.57818,-0.174686,0.132358,0.322232,-0.86254,-0.258964,-0.234566,-0.192416,0.019914,clean
-2.859032,0.120087,-0.412963,0.263251,-0.554961,0.524556,0.366248,0.509234,-0.142689,-0.018478,-0.071555,0.018655,-0.319287,-0.291024,0.034857,0.316144,0.153594,clean
-1.292403,-0.100507,0.906257,-1.088047,0.888949,0.359686,-0.380675,-0.148256,0.058165,0.16129,-0.479275,0.897044,-0.281768,0.200667,-0.547238,0.598225,0.078208,clean
0.344268,-1.371946,0.653971,-1.728571,1.606287,0.320189,-0.600884,2.373772,0.298849,-0.492566,1.20524,-0.077498,1.040182,1.032457,-0.92958,-0.535253,0.660479,clean
2.881791,0.83516,-1.717537,3.421007,0.163725,-1.234258,-1.060402,-1.660542,1.58074,-2.000603,-0.830403,0.182811,1.700436,-2.070003,0.864209,-0.420842,-0.370823,buggy
-2.699985,-0.76924,-0.119788,-1.278008,0.757063,-0.002067,0.403507,0.257606,0.243102,0.228721,0.429584,0.412558,0.480572,0.029961,0.440232,0.220127,0.108498,clean
4.140413,1.036666,2.571919,0.66947,-1.565737,0.355309,1.700054,-5.523002,-2.326858,-1.693165,-0.225546,-0.693665,0.993219,1.459122,1.111533,-1.348855,-0.170882,clean
-3.663541,-0.064361,-0.104191,0.153084,0.031189,0.210942,-0.308137,-0.050525,0.258773,-0.616679,0.31205,-0.11286,-1.029387,-0.542579,-0.01285,-0.116792,1.297794,clean
-3.630862,-0.228771,-0.062234,-0.24619,0.523653,-0.015823,-0.299878,-0.098962,0.014953,-0.301736,-0.119181,-0.015512,-0.1506,-0.698253,0.020783,-0.212242,-0.321608,clean
0.427489,-0.705732,-0.693734,-1.572277,0.764157,-0.393192,1.363875,-0.607861,0.037107,0.025303,1.510363,0.877706,0.620305,-0.805237,0.781638,-0.891873,0.181709,clean
2.831413,0.726746,-1.619146,1.974213,-1.05978,0.047367,-0.388757,-0.020367,1.168721,-0.749205,-1.331941,-1.038323,0.564429,0.174749,-0.12188,0.53707,-0.221117,clean
-3.682637,-0.278472,0.120565,-1.148887,0.493054,0.136725,0.006191,-0.060936,-0.414164,0.101321,0.008182,0.318007,-0.316967,-0.347896,-0.080511,0.025501,-0.155304,clean
10.372399,0.952632,-2.379202,-0.463428,-1.467216,-0.236084,-0.313333,-1.195573,-1.171293,0.020843,-3.182049,-1.466149,-1.811451,0.804202,1.487298,1.195705,-1.026664,clean
28.458269,7.173863,14.180023,-0.891754,-9.757451,-0.068427,-0.178715,-6.490218,-2.021442,1.398793,-0.576483,5.028082,0.13208,-0.588074,0.941603,-1.481375,1.579219,clean
-2.784573,-0.723607,-0.095239,-1.272524,0.849987,-0.033527,0.453104,0.206201,0.240402,0.214518,0.447766,0.409391,0.467821,0.045637,0.49682,0.125892,0.044276,clean
-2.55258,0.135048,2.136659,-0.893955,0.38257,0.890205,-0.146595,-0.207602,0.732348,0.664518,-0.210547,-0.016589,-0.090965,-0.268866,0.243277,-0.087337,-0.712956,clean
-1.285374,-0.139037,0.111395,-1.164249,1.035685,-0.09045,-0.071604,-0.46505,-0.219695,0.08047,-0.653238,0.125083,-0.464625,0.634881,-0.463322,-0.063242,-0.064061,clean
-2.886933,-0.447525,-0.241485,-1.315423,0.11331,0.149218,0.08004,0.171039,-0.286847,0.263983,0.039383,0.165618,0.034475,-0.161464,0.296949,0.294871,-0.225647,clean
0.630351,0.225859,2.75037,-0.41774,0.215817,-5.634881,-0.173602,0.555069,-1.776405,-1.00566,-0.969231,0.596025,-1.327274,0.651436,0.067325,-0.096291,0.005773,clean
-1.021663,0.199294,-0.645887,-0.8916,-2.485492,-0.273324,0.314004,-0.303056,-1.016276,0.06174,0.042056,-0.874201,0.562651,0.82044,0.300421,-0.644025,-0.519928,clean
-2.664186,0.001487,-0.246202,-0.696249,-0.587479,0.293367,0.051205,-0.337018,-0.364969,-0.15707,0.088835,0.106175,0.598775,0.409817,0.010134,-0.507797,0.102445,clean
-1.345172,-0.229894,-0.933754,-1.645903,-0.834988,0.312071,-0.47529,1.019225,0.130211,0.765823,-0.305667,0.103519,0.287751,-0.162629,-0.174195,1.338859,-0.443898,buggy
-2.563651,0.052718,1.088566,-0.768166,-0.34004,0.71621,0.016239,-0.428306,0.027943,0.241157,-0.13994,-0.245613,0.182847,0.280766,0.402279,-0.495315,-0.714759,clean
-3.770399,0.059822,0.068141,-0.681389,0.044254,0.316112,-0.178601,-0.053803,-0.457856,-0.044408,0.021243,0.262732,-0.843103,-0.37583,-0.335574,0.228461,0.201806,clean
20.057619,7.356997,30.783404,1.122887,-6.264544,15.791547,8.306188,-0.366315,9.79116,15.091677,-7.100817,-2.471899,-2.695108,-3.820993,3.676606,0.825596,5.961023,buggy
-3.562524,0.040534,0.451084,0.812633,-0.022003,-1.394867,-0.414538,0.337879,0.386051,-0.801885,0.054675,-0.431996,-0.298348,-0.840466,0.034122,-0.337625,0.119869,clean
2.891837,1.037836,-4.213209,-1.670674,-6.428206,0.593649,-0.104568,0.209148,-1.407175,1.157116,0.225941,-1.619472,-0.171506,-1.451173,1.324909,0.654779,-1.828389,buggy
2.778129,1.62715,0.571842,1.578765,1.654858,-0.597067,-1.308174,-2.79786,-0.412319,-2.008177,-1.760206,2.705757,1.525182,0.491241,-1.216259,0.14631,-0.946821,buggy
-2.463502,0.089455,-0.043606,4.107521,-0.006555,0.380041,-0.378138,0.736629,2.223297,-1.38669,-0.32126,-1.087248,-0.293715,-1.069344,0.848496,-0.375917,0.553986,clean
-1.541828,-0.384953,-0.215619,0.796091,0.583974,-0.124901,-0.327583,-0.465509,0.518865,-0.882286,-0.498571,-0.669336,0.527876,0.055716,0.250029,0.288615,0.040595,clean
-1.226665,0.523914,-0.553823,2.848778,-1.405486,2.731807,7.349267,4.209634,-4.37165,1.300502,-3.951556,0.916178,2.283982,-0.154252,-0.688492,-2.568412,0.210597,clean
1.763236,0.268342,-0.668533,0.128343,0.257553,-0.294441,-0.936946,-0.429936,0.112398,-0.535963,-1.072905,0.792249,-0.358699,0.024037,0.884214,0.556411,0.09094,clean
-3.291023,-0.099014,-0.143686,0.592357,0.278928,0.17672,0.111307,0.201902,0.121428,-0.38477,-0.337638,-0.146101,0.047853,-0.564441,0.197748,-0.392853,-0.067725,clean
1.907934,-1.090434,-0.132557,-1.426492,2.229996,-0.383432,-0.446483,0.169443,-0.198175,-0.207734,-1.175259,-0.05522,-0.977172,1.2026,0.408064,0.13435,0.372645,clean
0.153567,0.735407,-1.583954,-1.929347,-3.168918,0.949266,-0.369804,0.76874,-0.158109,1.081353,-0.125521,-0.598906,0.326878,0.407139,-1.948034,1.323232,-1.097724,clean
-0.570409,0.190403,-0.124118,-1.038263,-0.471416,0.547136,-0.729026,0.534589,0.563206,0.467769,-0.845955,-0.120987,0.295089,1.395979,-1.601472,-0.101373,-0.760983,buggy
4.434788,0.700477,-1.400363,3.110908,-0.040271,-0.554567,-1.939657,-0.32276,1.700136,-1.920486,-0.825863,-0.303819,1.765768,-2.271189,0.09587,0.450882,0.093089,buggy
-3.262475,-0.250467,0.033194,-0.815961,0.106654,0.208953,0.067169,-0.086769,-0.150878,-0.071232,0.229678,0.310683,-0.081139,-0.044872,0.097587,-0.239158,0.279628,clean
-2.776814,-0.082081,-0.157938,-0.036834,0.130817,0.063869,-0.366147,-0.087117,0.283083,-0.326945,-0.227344,-0.12127,0.308603,-0.001043,0.011198,-0.507487,-0.415737,clean
