@relation 'data/M_multi_metrics_EQ.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R62-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-16'

@attribute 0.176WCHU_rfc... numeric
@attribute 0.352WCHU_numberOfAttributesInherited... numeric
@attribute 0.325ck_oo_fanIn... numeric
@attribute -0.27WCHU_noc... numeric
@attribute -0.293ck_oo_numberOfAttributesInherited... numeric
@attribute -0.299LDHH_noc... numeric
@attribute -0.374LDHH_noc... numeric
@attribute -0.338WCHU_dit... numeric
@attribute -0.368LDHH_dit... numeric
@attribute '0.42 ck_oo_numberOfAttributesInherited...' numeric
@attribute -0.428ck_oo_dit... numeric
@attribute -0.341numberOfCriticalBugsFoundUntil:... numeric
@attribute -0.41CvsExpEntropy... numeric
@attribute 0.486numberOfCriticalBugsFoundUntil:... numeric
@attribute -0.429numberOfHighPriorityBugsFoundUntil:... numeric
@attribute class {buggy,clean}

@data
-0.157251,-1.071864,-1.020568,0.209534,0.200872,-0.754164,-0.058578,1.236651,-1.322445,0.189504,-0.626909,-0.7014,-1.111631,0.675253,0.791293,buggy
-3.351228,-0.865879,-0.67588,0.270643,0.436347,0.151414,0.119573,-0.159653,0.065548,0.296966,0.133123,-0.059824,0.202034,0.114467,-0.071536,clean
-1.066491,0.008075,-0.672447,0.594937,-0.80641,-0.665368,-0.452121,0.904436,0.277175,-1.278773,0.483288,0.259173,-0.329101,-0.413614,0.760743,buggy
-1.786159,0.088272,-0.46185,0.730977,-0.621061,-0.428877,-0.471693,0.74502,0.309668,-0.919917,0.434926,0.547609,0.122432,-0.241202,0.433528,buggy
13.881559,-2.980211,-2.980311,1.499047,2.319468,-1.054618,0.418508,-1.005119,0.258787,0.166963,1.440669,0.300171,0.837521,0.341234,-0.687563,buggy
1.855864,-0.917769,6.456445,-4.121146,1.805798,-1.069066,-2.361346,-0.785305,0.509189,1.118201,0.358423,-1.119093,-0.177873,-0.349174,-0.470782,buggy
-0.214165,-0.332883,0.642003,0.195806,-1.251981,0.941199,-0.549058,0.307372,0.979838,-0.508513,0.833909,0.085497,0.238979,-0.200373,-0.222937,clean
6.90376,-0.126051,-1.909666,-0.360282,0.409783,0.14573,0.014644,-0.388873,0.13946,1.510646,-0.097966,2.307517,-1.692248,-0.482878,0.22227,clean
-2.91474,-0.902328,-0.258969,0.024891,-0.322575,0.459432,-0.123515,-0.166498,0.224446,0.102622,0.238823,-0.011272,0.36509,0.107055,-0.081576,clean
-3.103099,-1.002265,-0.447987,0.023006,0.077065,0.294024,0.114872,-0.328294,0.067453,0.177923,0.030576,0.045907,0.216052,-0.043521,-0.105219,clean
-2.248936,0.746372,0.387936,0.861987,-1.812335,-0.209925,-0.878246,-0.400286,-0.097874,-1.06153,-1.860133,1.274449,1.059047,2.046362,-1.286107,buggy
0.943841,1.30133,2.76087,2.03435,1.554405,1.494633,0.021708,1.464304,0.616449,0.93748,1.632483,0.244054,-2.02377,-0.313427,-0.295496,clean
5.757807,-1.460047,-1.695787,-1.327049,-2.076327,1.053308,-2.335766,2.844949,-2.944367,1.944132,-0.372391,1.865231,-0.626658,-0.340068,1.025267,buggy
-0.877171,-0.523829,-0.364792,0.445547,-0.552879,-0.383492,0.077923,0.22135,0.22979,-0.34941,-0.574405,-0.580979,-0.233591,-0.554968,0.334844,clean
1.154418,0.090521,-0.488914,0.014345,0.363299,0.216171,0.179368,0.729649,0.131147,-0.074284,-0.790174,0.182582,0.183011,-1.578369,0.162885,clean
-1.949975,-0.887759,0.854427,-1.133542,-0.427623,0.488096,0.806132,0.105298,-0.687928,-0.138649,-0.117903,-0.27561,-0.862354,-0.005166,-0.066202,buggy
-2.684478,-0.634906,-0.864285,-0.324928,-0.591359,0.759724,-0.434139,-0.102481,0.906777,0.039285,0.444808,-0.49312,0.090713,0.300765,-0.516753,clean
-2.904557,-0.071441,-0.183649,0.832474,0.553821,-0.198358,0.145114,0.3696,0.352368,-0.377733,0.440466,0.108834,0.058807,-0.380254,0.320881,buggy
3.651181,0.12463,-1.02398,1.095064,1.678309,-1.358645,1.391069,1.467159,0.277293,-0.473608,-0.120442,-2.066429,0.404809,2.203745,2.093962,clean
4.375066,-2.25766,-1.956016,-0.996059,-4.290473,0.071018,-1.803659,-0.410685,1.587546,-1.811358,0.64149,0.593086,-0.333237,-1.487613,0.697813,clean
2.906204,-0.877134,-0.468633,-0.895905,-0.518779,0.627113,-0.666615,1.888961,-2.411066,1.572559,-1.587814,1.437773,-0.929225,-0.445648,-0.294745,buggy
-3.430624,-0.875734,-0.663498,0.178343,0.575637,0.157254,0.201726,-0.152627,0.007037,0.291321,0.235947,-0.081145,0.160237,0.160617,-0.061224,clean
-2.398926,1.790826,0.469156,1.994563,0.137937,-1.278129,0.092891,0.714625,0.404547,-1.155648,-0.35714,1.382648,0.716807,0.473221,-0.11062,clean
-2.964726,-1.005073,-0.705847,0.364913,0.394883,-0.078438,0.373818,-0.029142,0.137913,0.28288,-0.037275,-0.821162,0.41269,1.076966,0.41514,clean
-1.737785,-0.020374,-0.593202,0.497539,1.060563,0.047866,0.330923,0.303503,0.418738,-0.099265,0.160855,-0.028702,-0.001909,-0.863116,0.296837,buggy
1.935811,3.370351,-0.258281,0.906958,0.268887,0.9852,-1.171834,-2.188854,-3.120095,-1.426074,-0.452887,-1.380139,1.367023,-0.488411,0.527873,clean
0.916419,11.244959,-6.295033,-6.352782,2.243366,1.801182,0.187314,0.48071,0.29871,1.213181,-3.061641,0.496878,0.90185,-2.191958,3.732539,buggy
35.836362,-6.27206,-5.854083,2.672807,3.477602,-2.260132,1.826404,-5.490568,4.099121,-0.195852,1.328306,2.549108,-2.488739,5.10391,3.102435,buggy
2.198112,2.589993,0.122546,-0.045451,1.18538,1.601319,0.004847,-1.108296,0.346054,-0.806269,-3.087846,-0.813969,1.386812,-0.435384,1.226449,buggy
4.38688,0.138178,5.994677,-3.239625,-5.622408,2.462742,0.67226,-1.41509,0.57086,-0.474704,1.652141,0.417022,1.198292,0.701197,-0.840321,buggy
-2.729873,-0.900427,-0.461022,0.017715,-0.079767,0.279766,0.042175,-0.097017,0.058873,0.13867,0.019906,-0.292381,0.106015,-0.216553,0.048659,clean
-0.455742,0.408894,-0.305135,1.088111,-1.378437,-1.24088,-0.730218,-0.098483,-0.780867,-1.106321,-3.025006,0.338435,-0.527277,1.568317,-1.29604,buggy
-3.009202,-1.013831,-0.187579,-0.368131,0.172638,-0.03479,-0.437917,-0.266053,0.243163,0.213443,0.315701,-0.118306,0.151408,-0.034004,0.002603,buggy
-0.944833,3.063728,-0.344039,1.021546,-1.174162,-1.33812,0.034583,-0.810954,0.15755,0.165012,-1.230067,0.832626,-0.039902,0.67326,-1.624768,buggy
-2.53002,-1.385119,-0.89274,0.099776,-0.429491,0.139073,-0.198712,-0.655297,0.487593,-0.074623,0.340073,0.260179,-0.000351,-0.085676,0.213606,clean
7.950715,0.260773,2.298223,-1.762725,-1.275897,2.270089,0.953597,0.612765,1.17782,0.593537,-2.769635,1.246007,-0.746247,0.092043,1.497986,buggy
-2.625293,-0.031398,0.198015,0.687946,1.139996,-0.370865,-0.283971,0.321471,0.364749,0.133157,0.466739,-0.35399,-0.262325,-0.526714,0.329355,clean
-1.391657,1.408813,0.464574,1.583963,-0.681983,-0.863771,-0.606042,0.202839,-0.343341,-1.308033,-2.297129,1.018563,-0.053442,1.297138,-1.118232,buggy
3.162922,-0.700628,4.365118,-1.679885,-0.041102,2.100686,2.570862,-0.771042,-0.142523,-1.000321,1.357662,0.342123,0.319882,0.023066,-0.496525,clean
0.579106,11.362698,-6.675695,-6.450809,1.481642,1.946864,-0.382725,-0.047582,1.496178,-0.717287,-0.670023,-1.619121,-0.665233,-0.541103,0.329124,buggy
7.659096,-0.310546,0.685465,0.401983,-2.021856,3.669204,-3.41524,1.564823,-0.824224,3.141101,-0.540272,3.160437,0.491287,1.278927,-1.273238,buggy
-3.315443,-0.494756,-0.488565,0.578085,0.532016,0.03024,0.065979,0.09779,0.235914,0.047987,0.384518,0.054721,0.173744,0.028948,0.08774,buggy
-3.098274,-0.30902,-0.47434,0.636699,0.414008,-0.194788,0.081994,0.260711,0.202988,-0.204,0.309934,0.056257,0.020241,-0.008752,0.171289,clean
-2.827396,-0.700091,-0.490984,0.360903,-0.527154,0.06684,-0.27268,-0.017346,0.319951,-0.164604,0.108142,0.254877,0.310209,0.195401,-0.136554,clean
0.823727,-1.610249,-1.347539,0.34695,0.11241,-1.729244,0.604109,1.05658,-0.766707,-0.795931,-0.497951,-2.244785,0.232627,-0.596713,-0.84641,buggy
-1.189472,2.37733,-0.10334,1.391287,-0.000084,0.776847,-0.992654,-1.877115,-1.026053,0.347671,-0.064582,-0.772216,1.198567,-0.113391,-0.075639,buggy
1.067688,-0.145192,0.639575,-1.625726,0.248253,1.637704,-0.066935,0.083057,1.035186,0.783926,-0.08368,-0.071089,0.895064,-0.977455,0.514076,buggy
-3.011575,-0.91609,-0.652891,0.212197,0.18796,0.083469,0.098079,-0.160827,-0.002005,0.27763,-0.156903,-0.151464,-0.026118,-0.14576,-0.029236,clean
4.523969,-0.64221,-0.242202,0.506222,-0.506926,-0.992071,0.575056,1.135797,-0.42707,0.227534,-2.398259,-2.900925,-2.43233,-1.421775,0.471675,buggy
-0.349718,-0.873418,-0.63504,0.289098,-0.145537,-0.504552,0.384986,-0.16776,0.22554,-0.347994,-0.62573,-0.725877,-0.887363,-1.004641,0.574956,buggy
-2.95622,1.648435,-0.293408,0.814637,-0.919945,-1.207727,0.330338,-1.31656,-0.151281,0.609464,0.262048,0.681713,-0.282086,0.377182,-1.661112,clean
-0.58548,-0.443114,5.320147,-4.058912,0.618582,-0.166648,1.483058,-0.550913,-0.665079,-1.778512,0.785439,0.84859,0.344187,0.391419,0.042102,buggy
-1.223488,1.237043,-1.326451,-0.409744,-5.039042,-2.791087,1.083437,-4.187414,0.191469,3.688062,2.63573,0.831325,-0.328504,-1.218086,-1.832259,buggy
-3.291145,-0.886061,-0.656098,0.254544,0.356652,0.162502,0.111693,-0.184969,0.064036,0.286577,0.053155,-0.043568,0.220283,0.052234,-0.096542,clean
-2.780062,0.286175,-0.521755,0.65366,-0.367604,-0.315228,-0.578509,-0.354238,-0.697795,-0.35101,-2.140353,0.45285,0.029762,1.478518,-1.180674,clean
-3.239339,-0.457989,-0.504538,0.281898,0.641991,0.019583,0.239676,0.096286,0.177501,-0.088526,0.414586,-0.051964,-0.019701,-0.014299,0.027788,clean
-1.650717,-0.447161,-0.130184,0.686606,-0.076536,0.389972,-0.10061,0.164218,0.328682,0.382858,-0.104618,-0.334382,0.693275,-0.086951,0.001494,clean
-2.305374,-0.420305,0.290879,0.557987,-0.004629,0.492703,0.05455,0.054644,0.472104,0.11459,-0.162162,0.161552,0.58535,-0.107265,0.048005,clean
3.210677,0.089515,1.68724,-0.013743,-0.810205,-0.049134,1.10989,0.624794,-0.834281,-0.447392,-1.288713,-0.818005,-0.242465,2.475282,0.83393,buggy
-2.308822,-0.481186,0.007334,0.203055,-0.088325,0.073856,0.112617,0.210599,-0.045243,0.036264,-0.284264,-0.513238,-0.560607,-0.636019,0.365447,buggy
-3.42097,-0.867788,-0.725692,0.249691,0.557434,0.121628,0.165363,-0.148703,0.028609,0.302173,0.185166,-0.070454,0.159508,0.140274,-0.063284,clean
-2.862741,-0.394696,-0.311132,0.581424,0.399456,-0.091662,0.215592,0.084383,0.17281,-0.136004,-0.061234,0.130392,0.114281,-0.251541,0.104622,clean
-0.978032,-0.509856,0.023723,-0.362762,0.111167,-0.528531,0.869014,0.580283,-0.617961,-0.477577,-0.398743,-1.102733,-1.281527,-0.582149,0.751056,buggy
-1.89909,-1.002431,-0.099299,0.212606,-0.891904,0.576988,-0.184453,-0.40252,0.495421,0.12663,-0.698614,0.202275,0.691853,-0.391641,-0.288749,buggy
0.643224,0.260636,6.304878,-5.099653,-0.60673,1.961176,4.594346,0.342318,-2.019625,-3.147057,1.798405,1.824775,-0.335388,1.253731,-0.243131,buggy
-1.40822,-0.534617,1.336425,-0.959896,-0.052434,0.567604,1.205897,0.147983,-0.536221,-0.45174,-0.184024,0.141533,-0.690121,-0.199076,0.050919,buggy
-3.351228,-0.865879,-0.67588,0.270643,0.436347,0.151414,0.119573,-0.159653,0.065548,0.296966,0.133123,-0.059824,0.202034,0.114467,-0.071536,clean
4.519026,-0.88821,0.793786,0.763094,1.28682,1.298403,0.461044,0.152255,-0.088448,1.709647,-1.42787,0.81311,-0.339181,-1.326768,-0.986775,clean
-2.39434,-0.013637,0.200662,0.277957,0.274221,-0.180142,0.464754,0.481997,0.159498,-0.725355,0.467784,-0.052844,-0.156832,-0.304403,0.380703,buggy
-3.457057,-0.899234,-0.446772,-0.103629,0.877128,-0.268779,-0.220783,-0.209907,0.130149,0.397906,0.285661,-0.196276,0.052646,0.092642,0.058111,clean
-0.350096,-0.225179,0.574381,-0.370985,-0.17623,0.372501,0.443596,0.528384,-0.271083,-1.051877,0.800742,0.81976,0.430969,-0.543725,0.80973,buggy
8.104776,5.207912,2.695941,2.341756,-2.81518,-6.645136,3.310559,-0.141017,-0.153156,-1.481798,-1.285576,-1.287953,-1.19895,0.026027,0.795471,buggy
8.279957,-0.986601,0.034791,0.84571,0.036794,-0.749412,-0.037214,1.591051,-1.307924,-0.438081,-0.308989,-0.706379,0.050984,-1.968354,-1.36911,buggy
0.555137,-0.388615,0.564823,-0.375649,0.184259,-1.120321,-0.590639,0.450463,-0.103802,-0.573247,-0.321767,0.192416,-0.231022,-0.856633,0.807043,buggy
-2.415262,-1.082006,-0.546117,0.017815,-0.703134,0.290518,-0.190485,-0.323275,0.198538,-0.017058,-0.319242,0.02692,0.183259,-0.45552,-0.079016,clean
-3.430624,-0.875734,-0.663498,0.178343,0.575637,0.157254,0.201726,-0.152627,0.007037,0.291321,0.235947,-0.081145,0.160237,0.160617,-0.061224,clean
1.572098,3.354203,-0.404943,0.973407,1.937546,1.999415,-0.932852,-2.050341,-1.319498,-0.07579,0.657214,-1.02663,0.258801,-1.748486,0.773494,buggy
-3.430624,-0.875734,-0.663498,0.178343,0.575637,0.157254,0.201726,-0.152627,0.007037,0.291321,0.235947,-0.081145,0.160237,0.160617,-0.061224,clean
-2.482853,-0.543025,-0.455196,0.251943,-0.409315,0.250655,-0.387413,0.303121,0.401669,-0.332675,0.61969,0.062638,0.112935,-0.165023,0.120281,clean
-3.351228,-0.865879,-0.67588,0.270643,0.436347,0.151414,0.119573,-0.159653,0.065548,0.296966,0.133123,-0.059824,0.202034,0.114467,-0.071536,clean
-2.445562,-0.577535,-0.440762,0.114884,-0.04775,-0.379696,0.157794,0.468398,-0.451003,0.302262,-0.662384,-0.686043,-1.112646,-0.276346,0.162259,clean
6.17029,0.17521,4.998415,0.193752,0.789094,3.27791,1.473741,0.616479,-0.449867,1.465834,-0.057189,-1.161088,0.666251,-1.234379,-1.379559,buggy
2.685831,6.631746,0.797725,2.18463,0.210129,-2.159324,0.853468,1.358315,1.228971,-0.224924,1.313184,2.975951,0.122142,-0.866948,0.769762,buggy
-0.063876,-0.802112,5.816066,-4.828373,-0.529422,0.412422,1.185664,-0.730293,-0.615539,-2.074958,1.301787,0.740533,0.147949,0.256814,0.151025,buggy
6.261173,3.950839,4.86344,7.230831,1.445832,2.113903,-2.148306,3.650116,2.866336,2.323712,2.037085,-2.675529,-0.796961,-1.168456,-0.12951,buggy
-2.38851,-1.150068,0.307615,-0.749412,-0.426104,-0.14192,-1.175948,-0.485195,0.628384,0.261383,0.085886,-0.28662,0.181023,-0.413166,0.151778,clean
0.688911,1.837392,-1.230109,0.410355,0.499459,0.811048,-1.221607,-1.231091,-0.969775,-1.657982,-0.909547,0.284824,1.329366,-0.381424,0.692437,clean
0.034532,-0.28129,4.017409,-2.942952,-0.505191,1.90537,2.364951,0.198465,-1.069618,-1.66841,1.820493,0.775681,0.371116,0.540461,-0.190805,clean
3.922812,1.653783,2.014146,1.162998,-0.566098,-0.479014,0.078756,0.70952,-1.517799,-1.227625,-2.740024,1.360536,-0.197989,0.728804,-1.76856,buggy
-1.59627,-1.056643,3.885588,-3.90317,1.311023,-2.172884,-2.288266,-0.797482,0.222723,0.26878,0.06479,-0.727383,-0.475902,-0.282211,0.439362,clean
-3.484727,-0.873255,-0.778073,0.22934,0.672094,0.092006,0.207601,-0.142059,-0.004014,0.305529,0.238269,-0.079224,0.115709,0.16546,-0.052024,clean
6.86924,0.569093,1.765739,2.697831,0.555362,0.019544,0.641337,0.267321,0.986271,1.082172,-1.667951,-0.590458,-0.626541,-2.54798,-0.80336,clean
-0.230502,11.996612,-7.874563,-7.340799,0.192087,2.680034,-1.653966,-0.383219,3.802752,-3.356169,2.797248,-4.57074,-3.04898,2.657992,-5.092551,clean
3.197998,-0.76061,3.099412,-3.442585,0.172024,0.386808,0.775878,-0.708376,-0.031246,-1.728044,0.879057,1.130864,-0.191922,-0.237049,0.324567,buggy
3.370049,8.296687,2.272714,3.728153,-3.298411,-5.151273,1.525005,0.120673,0.010495,0.458942,-2.169473,1.314936,-0.707907,-0.352966,-1.448101,buggy
-0.671141,-1.099379,0.104948,-0.225336,-1.430032,0.801628,-0.458489,-0.238619,0.784264,-0.472175,0.321011,0.364641,0.357019,-0.426638,-0.069731,clean
2.104556,5.89985,-0.729331,1.621857,2.493273,0.661454,-0.627324,-5.457576,-4.145138,-0.471484,2.218278,-0.096358,-0.551972,-0.319863,-0.323133,clean
-0.929917,-0.552747,1.120278,-1.083847,-0.503612,0.130275,0.986222,0.477183,-0.895119,-0.578823,-0.287705,-0.447499,-1.772881,-0.533804,0.299915,buggy
-1.975753,0.011085,-0.318267,0.785951,-0.13874,-0.393339,-0.044074,-0.265566,-0.071698,-0.339701,-0.973407,0.286967,0.348934,0.396215,-0.38639,buggy
-2.964726,-1.005073,-0.705847,0.364913,0.394883,-0.078438,0.373818,-0.029142,0.137913,0.28288,-0.037275,-0.821162,0.41269,1.076966,0.41514,clean
0.212763,-0.483966,0.218999,0.169462,-0.955824,1.064229,-0.357239,-0.067154,1.250464,-0.184416,-0.054877,0.4499,0.808658,-0.530328,-0.302741,clean
-2.185505,-0.848833,0.313906,-0.564385,-0.11156,-0.256452,-0.255521,0.162402,-0.290687,0.576248,-0.638968,-0.989512,-1.000429,-0.551351,0.296397,clean
-3.351228,-0.865879,-0.67588,0.270643,0.436347,0.151414,0.119573,-0.159653,0.065548,0.296966,0.133123,-0.059824,0.202034,0.114467,-0.071536,clean
-3.283369,-0.925535,-0.764404,0.179067,0.327481,0.19552,0.024521,-0.140392,0.087363,0.252928,0.263338,-0.065128,0.148977,0.102185,-0.055024,clean
-3.484727,-0.873255,-0.778073,0.22934,0.672094,0.092006,0.207601,-0.142059,-0.004014,0.305529,0.238269,-0.079224,0.115709,0.16546,-0.052024,clean
-2.105007,0.189805,-0.007378,0.703135,-0.328476,-0.490428,-0.103167,0.777865,0.240924,-0.533321,0.057365,0.000866,-0.550923,-0.361511,0.357869,buggy
-2.19271,-0.967565,1.064924,-1.207026,-0.003963,0.882954,1.156954,-0.276158,-0.467409,-0.395397,0.422802,0.512507,0.0062,0.442185,-0.357094,clean
-1.056343,-0.61511,0.982665,-0.601549,-2.63108,1.102159,-0.616776,-0.665442,0.219298,-0.942053,-0.729667,1.028912,0.508829,0.973856,-0.968695,buggy
-0.45843,-0.33914,0.204956,0.141864,0.212541,0.383991,0.12936,0.669138,-0.521158,0.286357,-0.143126,-0.371268,-0.496617,-0.90096,0.26724,buggy
-1.206614,0.759904,0.834257,0.923208,0.344773,-0.173612,0.364181,1.001904,0.14248,-0.961326,0.814477,0.720086,0.287639,-0.500583,0.356143,clean
-2.306496,-0.557675,-0.32502,0.264711,-1.000111,0.766677,-0.864796,0.187788,0.859392,-0.092172,0.782337,-0.290532,0.274656,-0.045125,0.124861,clean
-2.334064,0.560544,-0.057758,1.172047,-0.105987,-0.590938,-0.244364,0.154359,0.075699,-0.668359,-0.847966,0.788527,0.34447,0.695456,-0.503222,clean
