@relation 'data/M_multi_metrics_LC.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R17,44,46,62-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-19'

@attribute 0.197WCHU_wmc... numeric
@attribute 0.281LDHH_fanIn... numeric
@attribute -0.282LDHH_numberOfAttributesInherited... numeric
@attribute 0.311WCHU_numberOfAttributesInherited... numeric
@attribute -0.308LDHH_numberOfPublicMethods... numeric
@attribute -0.456LDHH_noc... numeric
@attribute 0.347CvsExpEntropy... numeric
@attribute -0.357LDHH_dit... numeric
@attribute 0.328LDHH_dit... numeric
@attribute -0.445ck_oo_numberOfPublicAttributes... numeric
@attribute -0.343LDHH_numberOfPublicAttributes... numeric
@attribute '0.47 ck_oo_dit...' numeric
@attribute 0.417ck_oo_numberOfPrivateAttributes... numeric
@attribute 0.345ck_oo_fanOut... numeric
@attribute 0.419ck_oo_numberOfPublicAttributes... numeric
@attribute -0.444LDHH_numberOfPublicAttributes... numeric
@attribute 0.372LDHH_numberOfAttributesInherited... numeric
@attribute '0.43 CvsLogEntropy...' numeric
@attribute class {buggy,clean}

@data
-1.359375,0.477397,-0.134405,-1.00168,0.185829,0.677459,1.045988,-0.365702,0.670883,1.374635,0.801241,-0.83918,-0.530889,-0.67608,0.135596,0.54929,-0.610806,-1.800128,clean
-0.006723,0.322788,-2.279077,-1.368542,-1.161956,-0.309781,0.05588,1.286696,1.98359,2.715514,-0.447521,-0.202169,1.219453,-0.691673,0.775572,-0.058361,-1.679939,0.265416,clean
-1.137473,-0.826491,0.892268,0.277737,0.135439,0.421556,0.108392,-0.199115,-0.540909,-0.979764,1.440208,-0.924384,1.175785,1.202576,-0.039557,0.122176,-0.608556,-0.3316,clean
-2.196536,-1.48034,1.348253,-1.067669,-0.330388,0.070593,0.300032,1.469843,1.337348,-2.010215,0.346473,2.3255,-0.186699,-0.202936,1.487031,0.724028,0.993259,-0.148046,clean
0.834184,2.294013,0.718976,-2.21333,-2.06949,0.851627,-0.659557,-0.329191,-1.940836,-1.096994,-0.219124,-0.718476,-0.815942,-0.863049,-0.185861,0.753305,0.863835,-0.505823,clean
-1.239127,0.035502,0.096716,-1.056587,-0.375137,0.54262,0.039544,0.997049,1.192746,2.644599,1.483099,0.026509,-1.003218,-0.28733,-0.201723,-0.036807,0.009232,-0.604042,clean
-0.914248,-0.463389,0.514932,-0.755037,1.032841,0.739604,1.197198,-1.375793,-0.553108,-0.425762,0.685594,-0.556279,-0.02873,0.093935,-0.628916,0.612325,-0.043649,-0.68222,clean
-1.943484,0.180811,-1.750984,1.23527,-0.541045,-1.053992,-2.675666,-2.439725,2.727382,-0.664209,1.252939,0.460584,-0.96552,-0.139466,0.11896,-0.770617,-0.447803,0.13583,clean
-2.573395,-0.847285,0.996668,-1.109231,-0.029614,-0.260682,-0.335935,0.696863,0.512147,-0.831699,-0.141387,1.288576,-0.284019,-0.177098,0.399004,0.695503,0.55414,-0.093209,clean
-1.466775,-0.395017,0.33153,-0.753372,0.794286,0.63977,1.109757,-0.932324,-0.306678,-0.230749,0.650475,-0.611287,-0.108758,0.501507,-0.320421,0.424414,0.369879,0.030952,clean
2.70218,0.253246,-1.385681,-4.515076,-3.280007,0.113815,2.056989,0.039436,2.860602,1.824419,-1.02372,-1.083626,1.930953,-1.015762,-0.25286,2.083994,-1.051056,0.384444,clean
-1.139057,1.103318,0.67225,-0.186501,0.641071,0.887435,0.850739,-0.702509,-0.116031,-0.587441,-0.265127,-0.9025,-0.231199,0.201125,0.459345,0.452489,-0.083354,-0.617377,buggy
3.863734,10.594553,7.156867,2.790777,-0.4906,-2.117646,2.817465,-0.727513,1.027319,0.167073,-1.310899,-0.746226,-0.67003,-0.99477,0.532341,-0.405464,0.910485,0.297407,buggy
21.201174,1.509532,-2.865075,-6.790535,-2.432495,0.754183,-0.553836,1.188518,-0.841769,-3.330093,1.032273,-1.230483,4.147399,-1.884018,-4.23511,2.098432,-4.062973,1.997745,buggy
-1.016115,-0.501519,0.266304,-1.270109,0.688328,-0.323052,0.014927,1.111096,0.220187,-1.548369,0.385958,-0.077238,0.11293,-0.577141,0.45152,0.454909,-0.087205,0.359222,clean
1.542385,5.738024,4.718534,1.638789,-0.075101,3.791372,-0.568713,-0.047253,1.906494,-0.467035,-1.905558,-1.176171,-0.454163,0.335568,0.829155,0.454898,0.062322,-0.020427,clean
0.355858,-0.316962,-1.058814,0.644982,1.326937,1.137565,1.583373,-0.511429,-0.18202,0.602122,0.435331,0.142358,-0.852871,-0.132551,-0.160068,0.263595,0.480119,-0.417365,clean
-0.582664,-0.226838,-0.416961,-0.732335,-0.62046,0.400383,0.866668,-0.86543,0.021309,1.432057,0.203063,0.914068,0.417259,-1.067036,0.621766,-0.136734,0.257214,-1.247029,clean
-0.706166,-0.841358,0.547111,0.631586,-0.672072,0.904326,0.933752,0.916738,0.489378,-1.717451,0.01566,1.756431,-0.681063,0.846068,0.225034,1.587053,2.008646,-0.855024,buggy
-2.091379,-0.634867,1.044637,-0.485699,0.026254,-0.112465,-0.616479,-0.062242,-0.481807,-0.527933,0.118119,0.163021,0.610601,0.705434,-0.819077,0.623266,0.07491,-0.128205,clean
2.019576,0.262576,-1.101549,-0.772422,1.81718,1.508079,1.610498,-3.055927,-2.246963,-0.069469,-0.3258,1.536542,-0.970708,0.648467,0.536677,-0.570201,-0.057318,2.298932,clean
-2.633091,-0.378273,0.921398,-1.287452,0.454971,-0.42647,-0.392558,-0.073344,-0.225671,-0.432774,-0.131087,-0.45126,-0.190573,-0.211772,-0.574669,0.809004,0.322277,-0.140134,clean
-0.186532,-0.45142,-1.699166,1.428418,-0.097515,-0.977625,-2.362102,-2.600533,3.296404,-0.619958,1.451719,0.281813,-0.283761,-0.437503,-0.265428,-0.816884,-0.368548,0.404019,clean
1.926368,-0.266567,-2.170272,0.631662,0.761924,-1.513324,-2.895834,-2.508784,3.582436,0.200957,1.029478,0.149703,-0.513349,-0.862627,-0.080651,0.003033,-0.553273,0.617977,clean
3.677575,2.762864,-0.303159,-0.988334,-1.838716,1.936429,-0.627898,0.025721,-2.078418,-0.078018,1.083483,-0.540061,-0.235014,-0.806163,-0.058396,-0.086562,-0.169,-1.092978,clean
0.622817,1.421364,0.77349,0.081135,-1.116327,0.805225,-0.946196,1.255442,-0.447865,-1.660424,-0.316275,1.103013,0.283691,-0.151671,1.508742,-0.095486,0.195894,-0.518492,clean
-2.194368,-0.20475,0.46863,-1.06861,0.706666,0.189176,0.541652,-0.720584,-0.589015,-0.340057,0.138032,-0.566649,-0.524366,0.162405,-0.377376,0.696983,-0.123814,-0.251668,clean
-2.205696,-0.242198,0.564538,-1.180243,0.539127,-0.039591,-0.14758,0.17114,-0.118411,0.353245,0.374737,-0.076459,-0.756088,0.384737,-0.564825,0.549477,0.436627,0.398314,clean
-2.233504,-0.12392,-0.43299,0.235334,0.624043,-0.242771,-0.476671,-0.119099,-0.386191,0.061218,-0.721701,0.058786,0.8495,0.285127,0.060924,-0.163258,-0.054583,-0.023138,clean
-0.645795,-0.317892,0.212332,-1.149112,0.414109,-0.307503,-0.511556,0.694515,0.191297,-0.010822,0.508592,-0.698346,0.321946,-0.178359,-0.88023,0.281878,-0.015577,0.790558,clean
7.241343,1.132718,-1.332216,-1.857828,-1.440079,1.715172,0.784816,-3.847585,-3.423655,0.872861,-1.180466,0.186289,-1.695501,3.44003,3.734366,1.379917,1.387498,2.139533,buggy
1.81119,0.341272,-1.259285,3.944611,-1.249934,2.308951,0.875338,0.321572,-0.524916,0.827909,0.466883,0.806208,0.655885,3.587275,-0.609834,0.665417,1.392747,-1.533693,buggy
-1.784245,-0.561817,-0.074504,0.348933,-0.135018,0.456448,-0.191668,-1.367077,-1.167666,0.090284,-1.063367,2.118593,1.073195,0.88661,-0.781752,0.374165,-0.390942,-0.445144,clean
-0.770487,-0.157004,0.425439,0.15233,0.11919,-0.352502,-0.192725,0.294195,0.0553,0.630054,-0.285914,1.186556,0.409649,0.186572,-0.63636,-0.100573,0.392766,0.933628,clean
32.399533,-9.292683,-1.451602,-6.858583,2.723924,-1.912436,3.203037,2.305289,7.031185,-1.305912,-2.058548,2.170945,2.534083,-0.25291,3.602237,0.516699,0.730285,2.518567,buggy
-2.263033,-0.196047,0.392903,-0.496661,0.672497,-0.209182,-0.326459,0.487182,0.031068,0.036262,0.378016,-0.823424,-0.214479,0.389283,-0.084031,0.246288,0.051753,0.252045,clean
-2.162214,-0.795939,0.854804,-0.485488,0.138293,-0.103762,-0.290782,0.395366,0.144861,0.438034,0.403816,-0.490288,-0.596967,0.638326,-0.438311,0.275418,0.32385,0.501236,clean
-2.01691,-0.778068,0.316091,-0.24108,0.353368,-0.262656,-0.208299,-0.308572,0.018651,-0.150643,-0.28645,-0.339548,0.85646,-0.052734,0.01927,0.051425,0.594263,-0.055532,clean
-1.49855,-0.24649,0.092824,0.407593,0.458802,0.532194,0.285281,-0.481827,-0.893391,-0.335348,0.22204,-0.209154,0.534855,1.240545,-0.198394,0.110437,-0.647809,-0.17725,clean
-1.413777,0.00491,-1.46356,0.850678,0.656788,0.390237,0.919199,0.870837,-0.370223,0.010949,0.476875,-1.557471,-0.014765,0.491244,2.293045,-1.184699,-0.810174,0.110655,clean
0.422338,-0.823948,-0.283999,-2.407336,-1.297183,0.894041,1.220692,-0.607829,-0.95996,0.215082,0.467939,1.494111,-0.814187,-0.579617,0.948811,-0.064846,2.132831,0.940977,buggy
4.384571,7.011509,5.499081,2.24992,-0.72544,-2.720351,0.133559,0.775322,0.606515,0.389163,-0.680903,-0.399342,0.299281,0.324767,0.132178,-0.175461,-0.141994,0.902847,clean
-2.040569,-0.583357,1.025829,-0.272571,0.124615,-0.196194,-0.646861,0.681967,-0.004296,-0.533761,0.628894,-0.563768,0.31109,0.5932,-0.058732,0.303539,-0.123535,0.053707,clean
3.558536,0.317563,1.174118,0.425198,0.735812,2.589745,1.722458,-1.871405,-1.081509,-0.483048,1.729589,-0.7414,0.133496,0.810164,-0.633524,0.1062,-0.170617,-0.385368,clean
-2.398311,-0.237723,0.1506,-0.137319,0.342963,-0.35298,-0.728913,0.361441,-0.003236,0.030325,-0.088703,-0.34229,0.624278,0.209691,0.201282,-0.081357,0.009338,0.047879,clean
-2.489293,-0.93654,1.304878,-0.995388,-0.043574,-0.480106,-0.629531,0.444789,0.062618,-0.59408,0.211784,-0.19884,0.100436,0.010262,-0.3778,0.663013,0.463449,0.105766,clean
5.742553,0.187701,-3.371448,-5.498142,-5.245055,0.04397,2.234203,2.551009,2.290787,1.34024,-4.140493,0.586435,-3.610073,2.639737,-2.989788,-2.464189,2.761181,-2.743407,clean
-2.560381,0.106698,-0.134394,-0.259127,0.472738,-0.319159,-0.632959,0.377247,-0.176236,0.192046,-0.240191,-0.533461,0.219946,0.16826,0.507009,-0.058718,-0.322221,-0.15402,clean
-2.393291,0.158659,0.76596,-0.335062,0.247906,-0.191418,-0.725988,0.773608,0.182715,-0.052974,0.133325,-0.930696,0.04163,0.317896,0.117702,0.148813,0.01988,0.22125,clean
-1.509248,0.045685,-0.047225,-0.725762,1.260396,0.483491,0.870175,-0.589888,-0.170747,0.342804,0.645517,-0.919911,-0.626857,-0.217994,-0.081152,0.392997,-0.416944,-0.645826,clean
4.251865,1.361859,-3.811192,3.379754,5.901048,-0.695395,5.242092,-3.024022,-1.013905,-2.362221,-0.476659,-2.687881,1.809996,-0.32844,-0.195316,2.355293,0.054098,-2.623766,buggy
-2.039061,-0.797444,1.227012,-0.488291,-0.14757,-0.21336,-0.564097,0.128641,-0.206989,-0.222243,0.40466,0.367439,0.514125,0.958754,-0.974379,0.570067,0.432416,0.208992,clean
-1.765714,-0.321681,0.324736,-0.187971,0.53048,0.155245,0.553853,-0.432713,-0.59399,-0.450703,0.573183,-0.870664,0.173201,0.603809,-0.03848,0.173558,-0.417469,-0.146366,clean
-2.368388,-0.625611,0.815001,-0.991154,0.175634,-0.135436,-0.2884,0.138356,-0.023511,-0.808587,-0.061331,1.021597,-0.003912,0.005246,0.043336,0.723023,0.137097,-0.379083,clean
-2.710766,-0.203807,0.904474,-1.336808,0.521419,-0.59203,-0.294077,-0.097727,-0.344473,-0.347236,-0.229884,-0.407379,-0.499222,-0.278424,-0.564394,0.871532,0.177527,-0.146644,clean
-1.967578,0.067813,-1.248724,0.872956,0.970264,0.281934,0.913528,0.219696,-0.551719,-0.623694,-0.36029,-0.565802,-0.535504,-0.169305,-0.095777,0.971098,0.080024,-0.284208,clean
4.543575,2.45833,-0.949988,-0.977,-3.483406,-3.339626,1.149746,-0.28017,-4.701055,0.433265,1.657572,2.066012,-0.455821,0.05169,-0.167198,-0.369055,1.107981,0.893883,buggy
-2.32197,0.123696,-1.083113,1.14231,0.597208,-0.141084,-0.212712,1.61293,0.067933,0.442123,0.32984,-1.665282,0.098764,0.913945,1.720815,-1.10823,-0.852168,0.529428,clean
4.948078,-0.271396,-1.512927,0.539354,2.224256,0.953426,0.404945,-0.857976,-2.420027,0.417565,1.185897,0.04656,-0.980848,-0.792056,-0.855164,-0.09189,0.597701,-0.060973,clean
4.200816,-0.603954,-0.779923,-0.278824,0.688459,2.345773,2.970605,-1.986855,-0.176324,1.661733,1.866063,-1.101923,0.005891,-1.001704,0.267757,-0.841349,0.472031,-0.382685,buggy
-2.597034,-0.531384,0.79149,-1.217512,0.400278,-0.288643,-0.125483,0.210945,-0.097435,-0.755662,-0.184784,0.272111,-0.370012,-0.12283,-0.166037,0.836599,0.31695,-0.172213,clean
-2.490531,-0.802898,1.203522,-1.26206,0.213282,-0.266742,-0.068062,0.742921,0.34133,-1.310133,0.103036,0.454676,-0.501059,-0.285227,0.338237,0.864333,0.385793,-0.221319,buggy
-0.781028,-0.448733,-0.92229,-0.501225,0.387168,0.606238,1.339993,-1.839188,-0.833291,-0.172924,-0.30968,-0.124206,1.18721,-0.926277,0.97372,-0.418353,0.618903,-0.552164,clean
-1.962975,-0.119357,0.111065,-0.635689,0.836141,0.357426,0.753593,-0.5003,-0.332283,-0.196938,0.478359,-0.890966,-0.265531,0.396688,-0.033097,0.311699,-0.081255,0.008644,clean
1.87495,-0.046479,-0.037081,-1.290761,2.063783,-1.755273,0.046169,1.952709,1.121214,-1.637369,-1.474819,-0.371844,-0.011837,-0.159598,-0.379022,-1.644902,-0.427378,0.316507,clean
-2.52825,-0.463837,1.052844,-1.222183,0.337267,-0.291125,-0.322603,-0.068844,-0.158106,-0.163753,-0.135591,-0.304416,-0.509886,-0.024926,-0.689325,0.811677,0.385125,0.026918,buggy
-0.958204,-0.366564,1.483813,0.407678,-0.228502,0.457735,-0.797389,0.50537,0.125236,-0.512879,0.976633,-0.388792,1.235364,1.158889,-0.631626,-0.028713,0.341296,0.331869,clean
-2.75717,0.461656,0.163296,-0.372397,0.501513,-1.334562,-0.116137,0.258203,-0.239039,0.240777,-0.167762,-0.303898,-0.114901,-0.193834,0.108486,-0.033997,-0.168873,0.168115,clean
-2.58805,-0.469156,0.665151,-1.085763,0.329023,-0.366325,-0.420648,-0.127757,-0.190999,-0.486866,-0.475432,0.539983,-0.085965,-0.311942,-0.144609,0.709948,0.170628,-0.356777,clean
-2.143531,-0.670516,1.41206,-0.626439,-0.039144,-0.244683,-0.700261,0.167845,0.053125,-0.657158,0.033362,-0.22336,0.749854,0.259768,-0.586974,0.596603,0.621945,0.05597,clean
-2.755535,0.068654,-0.90709,0.465695,0.518439,-0.421318,-0.497558,0.989189,-0.108737,0.305037,-0.553549,-0.390693,-0.30112,0.179748,0.005593,0.36919,0.33119,0.111855,clean
-1.634825,-0.269138,0.467329,-1.078986,0.30544,0.306668,0.273571,-1.130897,-0.859141,-0.297467,-0.095339,0.355158,0.103827,-0.121899,-0.376629,0.618888,0.132571,-0.539561,clean
-0.215114,0.786005,1.594805,-0.418088,0.320712,-0.060261,-1.25072,1.167176,0.458909,-0.831975,-0.196987,-0.553977,0.297108,0.392505,-0.454107,-0.390174,-0.027672,-0.367519,clean
-2.24979,-0.10587,0.038062,-0.404262,0.222808,-0.079918,-0.610858,0.623334,0.5696,1.103204,0.357651,0.12903,0.112204,-0.069803,-0.052248,-0.148707,-0.01771,-0.135588,clean
-0.261081,0.269638,-2.137078,-1.138432,-0.922638,-0.272578,0.166232,1.178623,2.236293,2.667477,-0.421594,-0.285117,1.44294,-0.68929,0.68065,-0.002191,-1.7071,0.030591,clean
-1.359938,-1.564,1.71788,0.233944,-0.612271,-0.032982,-0.499736,-0.049586,-0.649661,-0.327476,0.472492,0.406184,0.195384,1.293416,-0.916983,0.466459,-0.246252,-0.027878,clean
7.397947,-0.874083,-1.517597,-2.426239,4.331554,-0.752247,2.316843,1.553416,0.498564,-4.638226,-0.632088,0.933811,-0.154319,-0.432996,-1.634931,-3.22117,-1.929744,-1.977934,buggy
28.599343,14.191093,5.972612,0.728653,-0.382639,6.850616,-3.787892,-0.122902,-2.589726,-2.539116,1.179703,-1.045119,1.407827,-2.160513,-2.497745,1.727495,-0.894641,0.526517,buggy
-2.15106,-0.460979,0.285133,-0.298118,0.54011,-0.395368,-0.653234,0.024863,-0.129579,-0.157653,-0.175046,-0.180879,0.662058,0.083291,-0.06803,0.163247,0.150254,-0.16494,clean
-2.644147,0.093964,-0.295791,-0.31044,0.514373,-0.346519,-0.769153,0.048202,-0.099957,0.508392,-0.502795,0.32645,0.203587,-0.017729,0.240419,-0.068343,-0.213896,-0.051429,clean
-2.468958,-0.0781,0.509783,-0.538053,0.417198,-0.235234,-0.589009,0.783149,0.163755,0.518684,0.277555,-0.792214,-0.649098,0.118445,-0.063284,0.100716,-0.189982,0.214074,clean
-2.563624,0.01682,-1.006561,0.900246,0.609791,-0.324579,-0.240826,1.388076,-0.087167,-0.206668,-0.467172,-0.373885,-0.55846,-0.123896,-0.129363,0.858945,0.319736,0.13047,clean
-2.489408,-0.117276,0.65223,-0.7439,0.484288,-0.282884,-0.444129,0.580885,0.156141,-0.231743,0.070276,-0.636034,-0.200539,0.053965,0.057806,0.371852,0.208219,0.145608,clean
-2.100974,-0.237957,-0.302027,0.705198,0.206508,-0.010638,-0.636266,0.585738,-0.228438,0.43908,0.042807,0.127351,0.523696,1.054128,0.314657,-0.468961,-0.49406,0.341828,clean
2.905583,-0.555325,-3.418841,-0.167805,-0.813055,-2.214609,-2.811687,-2.971904,3.177921,0.588972,-1.230351,0.286464,-0.774483,-0.677356,0.893289,1.004109,-0.615811,1.164287,clean
8.073268,-0.92519,-2.139481,-5.133403,-7.179741,-0.180673,0.694345,-0.824136,0.264187,0.331502,-0.543067,-1.136799,2.196732,2.20071,0.918634,4.188435,-0.897679,-0.799197,clean
3.965187,-0.043884,-7.419179,9.553879,2.495187,2.198129,4.360688,3.912274,-0.188094,1.036671,-3.065859,-0.04048,-2.977093,-2.336197,-0.937477,4.43596,-1.07059,1.990221,clean
-1.859281,-0.689907,0.463244,0.497537,0.083916,0.03785,-0.340775,1.617865,0.076652,-1.089731,1.021464,0.058864,0.10487,1.02219,1.149904,-0.108727,-0.939077,-0.016556,clean
-1.565157,0.85634,1.47122,-0.366671,0.013294,0.218213,-0.043465,-0.002222,0.459474,0.027466,-0.452963,-1.040862,-0.357359,-0.006744,0.129622,0.438575,0.629932,-0.17292,clean
-1.511438,-2.429556,1.032779,0.43574,-0.897157,-0.327705,-0.179051,0.223384,1.904169,-0.509347,0.628528,-0.989347,3.965175,0.072571,0.328249,-1.009963,3.369133,0.975352,clean
1.483257,0.119848,1.363312,0.174254,0.718485,0.387115,-1.052509,0.40817,-0.273213,0.612127,0.700732,-0.911176,-0.527076,-0.457488,-0.319001,-0.357085,0.159571,0.090362,clean
-1.616463,-0.517196,0.680967,-0.161343,0.099251,0.203505,-0.342445,0.700557,0.425215,0.795141,1.241499,-0.504262,-0.172778,0.52412,-0.395917,-0.043834,-0.344371,-0.026794,clean
15.826464,-1.791587,-0.462169,-2.760782,3.509895,0.041869,-0.09919,-0.176793,0.290221,-0.818029,0.12159,-0.054229,0.880576,-1.478059,-0.525083,-0.653721,-0.730083,5.47978,buggy
1.484554,-0.474674,-7.448149,9.365327,-0.115233,2.948234,5.271223,3.705844,-1.436341,1.315053,-2.496201,0.593474,-3.893645,-1.961061,-0.499765,2.851071,-0.314749,2.324907,clean
-1.793602,0.186893,-0.326134,-0.5322,0.822817,0.392331,0.448473,-0.569445,-0.062753,0.657996,0.184052,-0.180535,-0.120405,-0.363456,0.038299,0.060821,-0.49644,-0.727702,clean
-2.676368,0.375109,-0.889198,0.327488,0.820614,-0.372437,-0.388837,0.952796,-0.303474,0.305452,-0.229256,-1.441311,0.025383,0.418272,1.036985,-0.50544,-0.688297,0.14207,clean
-2.373501,-0.193243,0.763128,-0.627641,0.386395,-0.201635,-0.490758,0.45061,0.034232,0.142303,0.102685,-0.68724,-0.478888,0.286849,-0.224971,0.351401,0.093226,0.245369,clean
-2.151018,-0.168919,-0.333283,0.007496,0.374855,-0.156027,-0.758055,-0.298879,-0.450775,0.440142,-0.683751,1.026755,0.732885,0.356354,-0.108556,-0.097021,-0.105297,-0.119572,clean
-2.545634,-0.054511,0.262729,-0.619877,0.61399,-0.244206,-0.339037,0.560922,0.008235,0.150511,0.309992,-0.765317,-0.38673,0.355819,-0.055502,0.233684,-0.023492,0.331271,clean
-1.017925,1.110729,-1.630711,1.771242,0.219264,-1.73134,-2.054412,-1.462874,1.34022,-1.152175,-0.467856,1.07499,-0.980483,-1.261347,-0.659878,0.00547,-0.122916,0.680096,clean
-1.410978,-0.247512,0.190042,-1.391167,0.103215,0.206357,0.310035,-1.106308,-0.987188,-0.189519,-0.20559,0.219477,0.18822,-0.65299,0.009647,0.377192,0.439868,-0.500085,clean
-2.074595,0.553193,-1.716846,0.81607,1.336848,0.168754,0.75756,0.298253,-0.671866,0.178816,0.118054,-2.173997,0.025367,0.484753,1.677205,-0.941595,-1.231485,-0.036813,clean
-0.543133,-0.611476,-0.963185,-0.909731,-1.188134,0.078273,-0.105863,0.740597,-0.57497,0.025423,-0.238487,1.518812,0.105467,-0.747008,2.215876,-0.871717,0.919645,0.520781,clean
2.408429,-0.067557,2.070441,0.353108,0.584107,1.3791,-0.432826,0.110979,1.09096,2.06542,1.311083,-0.259319,-0.655747,-0.029361,-0.692042,-0.14921,0.638016,-0.186378,clean
0.01908,0.32995,-0.404543,-0.344918,1.808561,0.10152,-0.228882,-0.252128,-0.694442,-0.189975,0.179858,-0.27245,0.134867,-0.915606,-0.702711,-0.32509,-0.455107,0.022262,clean
