@relation arff_velocity-1.4

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute class {buggy,clean}

@data
5,3,0,6,18,4,0,6,5,0.375,105,1,1,0.924528,0.35,3,3,19.6,3,1.4,clean
6,3,17,22,26,13,17,5,1,0.6,111,1,0,0.907407,0.75,0,0,17.333333,3,1.3333,clean
5,3,1,11,18,0,10,1,4,0.55,387,0.4,1,0.866667,0.4,1,1,75.4,14,4.8,clean
3,4,0,3,8,3,0,3,3,1.5,33,1,0,0.964286,0.666667,2,3,9,2,1,clean
3,4,0,8,22,3,0,8,3,2,207,0,0,0.964286,0.666667,2,4,68,4,1.6667,clean
4,4,0,3,8,6,0,3,3,1.333333,62,1,0,0.947368,0.75,2,4,14,5,1.75,clean
6,3,0,10,26,7,0,10,5,0.6,159,1,1,0.924528,0.35,3,3,25,3,1.1667,clean
12,1,0,3,12,66,3,0,12,2,12,0,0,0,0.583333,0,0,0,1,1,clean
5,2,0,10,12,10,4,8,5,2,62,0,0,0.9,0.4,1,2,11.4,1,0.6,buggy
4,1,0,10,24,0,1,9,4,0.166667,178,1,1,0,0.5,0,0,43,2,1,buggy
6,1,0,8,32,0,0,8,4,0.4,160,1,1,0,0.416667,0,0,25.333333,2,1.3333,buggy
2,2,0,10,17,1,6,5,2,2,87,0,0,0.941176,1,1,1,42.5,1,0.5,buggy
18,3,1,13,63,149,2,11,6,1.019608,417,0.444444,1,0.6,0.338235,1,2,21.666667,5,1.1111,buggy
5,2,0,10,19,10,4,8,5,2,84,0,0,0.9,0.4,1,1,15.8,1,0.6,buggy
1,4,0,3,2,0,2,1,1,2,5,0,0,1,1,0,0,4,0,0,buggy
4,1,2,6,5,0,5,1,4,0.666667,25,1,1,0,0.625,0,0,4.75,2,1,buggy
2,1,0,10,2,1,10,1,2,2,2,0,0,0,0.75,0,0,0,1,1,buggy
4,1,0,2,5,0,2,0,4,0.333333,97,1,0,0,0.5,0,0,22.5,3,1.5,buggy
24,1,0,2,36,0,1,1,21,0.504348,991,0.666667,0,0,0.3125,0,0,39.666667,7,1.5,buggy
6,1,0,5,19,0,1,4,6,0.5,61,1,1,0,0.458333,0,0,8.833333,1,0.8333,buggy
3,1,0,3,4,3,1,2,3,2,8,0,0,0,0.5,0,0,1.666667,1,0.6667,buggy
17,1,0,11,47,42,2,10,6,0.701389,688,1,2,0,0.364706,0,0,38.941176,12,2.7647,buggy
5,2,0,9,27,0,4,7,5,0.3125,180,1,1,0.9,0.433333,1,1,34.2,2,0.8,buggy
11,1,1,7,21,17,2,5,10,0.75,92,1,2,0,0.257576,0,0,7,2,1,buggy
2,1,0,3,2,1,2,2,2,2,2,0,0,0,1,0,0,0,1,1,buggy
7,3,0,10,28,15,0,10,5,0.5,258,1,0,0.571429,0.428571,0,0,35.571429,1,0.8571,buggy
1,1,0,4,1,0,3,1,1,2,1,0,0,0,1,0,0,0,1,1,buggy
3,2,0,6,13,0,1,5,3,0,86,1,0,0.6,0.47619,1,2,27.333333,1,0.6667,buggy
