@relation arff_tomcat

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute class {buggy,clean}

@data
6,1,0,11,7,15,10,0,5,1.16,79,0,1,0,0.6,0,0,11.333333,1,0.8333,clean
2,5,0,2,5,1,0,0,2,2,11,0,0,0.985507,1,1,1,4.5,1,0.5,clean
5,1,0,1,6,10,0,0,5,1.25,10,0,0,0,0.4,0,0,0.6,1,0.8,clean
2,1,0,2,5,1,0,0,2,2,11,0,0,0,0.75,0,0,4.5,1,0.5,clean
28,2,0,25,88,230,8,0,26,0.864198,674,1,1,0.726316,0.246914,1,4,22.75,10,1.5,clean
2,1,0,9,2,1,9,0,2,2,2,0,0,0,0.75,0,0,0,1,1,clean
3,3,0,4,7,3,1,0,3,1.5,17,1,0,0.933333,0.555556,1,1,4.333333,1,0.6667,clean
7,1,0,11,38,0,0,0,2,0.666667,351,1,1,0,0.366667,0,0,48.714286,3,1.1429,clean
4,5,0,2,13,0,0,0,4,0,58,1,0,0.957746,0.625,1,1,13.25,1,0.75,clean
5,3,0,3,13,8,1,0,5,0.75,101,1,0,0.906977,0.45,1,2,19,10,2.8,clean
9,3,1,5,50,26,2,0,1,0.75,375,1,1,0.774194,0.4,2,7,40.333333,16,2.6667,clean
3,1,0,3,15,1,1,0,2,0.833333,64,1,0,0,0.5,0,0,19.333333,1,0.3333,clean
8,1,0,1,13,4,1,0,7,0.571429,2144,1,0,0,0.5,0,0,266.75,1,0.75,clean
55,1,0,1,56,1485,1,0,54,1.018519,329,0,0,0,0.5,0,0,3.909091,1,0.9818,clean
37,2,0,39,175,660,2,0,30,0.944444,1350,1,0,0.539474,0.433333,0,0,35.405405,4,1.1081,clean
38,1,0,5,54,227,1,0,7,0.776216,3880,0.16,1,0,0.405405,0,0,100.447368,95,7.8947,clean
12,1,0,4,12,66,3,0,12,2,12,0,0,0,0.416667,0,0,0,1,1,clean
4,5,0,2,13,0,0,0,4,0,58,1,0,0.957746,0.625,1,1,13.25,1,0.75,clean
4,2,0,3,11,0,2,0,4,0,60,1,0,0.8,0.625,0,0,13.75,2,1,clean
1,1,0,2,1,0,2,0,0,2,298,0,0,0,0,0,0,240,0,0,clean
11,1,0,14,16,0,13,0,11,0.6,144,1,0,0,0.727273,0,0,11.727273,4,1.0909,clean
1,1,0,0,2,0,0,0,1,2,41,0,0,0,1,0,0,3,0,0,clean
13,1,0,6,15,64,6,0,12,0.869048,390,1,0,0,0.333333,0,0,28.461538,1,0.8462,clean
9,3,0,2,16,0,1,0,6,0.125,56,1,1,0.714286,0.333333,2,4,5.111111,1,0.8889,clean
7,1,0,11,35,17,3,0,2,1.055556,484,0.166667,1,0,0.333333,0,0,66.428571,34,10,clean
1,1,0,16,1,0,15,0,1,2,1,0,0,0,1,0,0,0,1,1,clean
5,1,0,0,6,2,0,0,5,0.75,36,1,0,0,0.4,0,0,5.4,1,0.8,clean
3,1,0,2,3,3,1,0,3,2,3,0,0,0,0.5,0,0,0,1,1,clean
32,1,2,0,63,0,0,0,32,0,185,1,1,0,0.335938,0,0,4.75,2,1,clean
20,1,0,0,53,48,0,0,18,0.602339,1126,1,0,0,0.31,0,0,54.85,6,1.65,clean
33,1,3,14,77,488,3,0,17,0.927083,702,1,0,0,0.196023,0,0,19.909091,25,2.8182,clean
2,1,0,4,14,1,2,0,2,2,87,0,0,0,0.6,0,0,42.5,4,2,clean
2,1,0,1,14,1,0,0,2,2,104,0,0,0,0.6,0,0,51,1,0.5,clean
6,1,0,14,29,0,11,0,2,0.828571,309,1,2,0,0.333333,0,0,49.333333,5,1.6667,clean
53,1,0,14,121,884,7,0,41,0.894918,1074,0.821429,5,0,0.109467,0,0,18.735849,11,1.7547,clean
20,1,0,11,61,154,5,0,16,0.804511,695,0.142857,2,0,0.270677,0,0,33.4,22,3.75,clean
1,1,0,0,2,0,0,0,1,2,5,0,0,0,1,0,0,3,0,0,clean
2,1,0,2,11,1,0,0,2,2,203,0,0,0,0.75,0,0,100.5,2,1,clean
14,1,0,29,14,91,26,0,14,2,14,0,0,0,0.214286,0,0,0,1,1,clean
34,2,0,11,94,439,3,0,28,0.737374,696,1,1,0.684211,0.170996,1,15,19.382353,6,1.3529,clean
3,2,0,2,8,0,1,0,3,0.25,48,1,2,0.333333,0.555556,0,0,14.333333,3,1.3333,clean
4,5,0,2,11,0,0,0,4,0,40,1,0,0.957746,0.625,1,1,8.75,1,0.75,clean
5,1,0,34,5,10,32,0,5,1.25,14,0,0,0,0.7,0,0,0,1,1,clean
12,2,0,4,45,26,1,0,12,0.480519,337,1,1,0.84058,0.266667,1,8,26.5,4,1.3333,clean
8,1,0,25,14,22,25,0,7,0.142857,113,1,0,0,0.380952,0,0,13,1,0.75,clean
2,2,0,3,10,1,0,0,2,2,38,0,0,0.97619,0.75,1,1,18,1,0.5,clean
6,1,0,9,18,9,8,0,4,0.8,1423,0.333333,1,0,0.25,0,0,235.666667,15,4.1667,clean
2,1,0,5,5,0,4,0,2,0,69,0,5,0,1,0,0,29,1,0.5,clean
3,3,0,4,8,3,1,0,3,2,40,0,0,0.95122,0.666667,1,1,12.333333,1,0.6667,clean
34,2,0,11,113,411,1,0,25,0.897597,1577,1,2,0.384615,0.198653,0,0,44.529412,33,2.7647,clean
16,1,0,4,22,68,4,0,16,0.847619,131,1,0,0,0.71875,0,0,6.75,1,0.9375,clean
11,1,0,3,36,5,1,0,10,0.625,245,1,1,0,0.409091,0,0,20.909091,6,2.3636,clean
7,1,0,1,8,21,0,0,7,2,10,0,0,0,0.357143,0,0,0.428571,1,0.8571,clean
66,2,0,17,174,1593,4,0,57,0.922507,1439,0.555556,2,0.272727,0.1,1,1,20.393939,7,1.2576,clean
3,2,0,6,14,1,1,0,3,0,249,1,0,0.666667,0.555556,1,1,81.666667,1,0.3333,clean
9,2,0,3,78,24,0,0,6,0.625,844,1,0,0.809524,0.55,2,10,92.444444,19,4.1111,clean
7,1,0,1,7,21,1,0,6,1.142857,34,0,0,0,1,0,0,2.857143,1,0.8571,clean
2,1,0,2,13,1,0,0,2,2,410,0,0,0,0.75,0,0,204,6,3,clean
4,1,0,7,9,4,2,0,1,0.666667,28,1,0,0,0.333333,0,0,5.75,1,0.5,clean
2,1,0,1,15,1,0,0,2,2,60,0,0,0,0.6,0,0,29,1,0.5,clean
3,1,0,0,4,0,0,0,3,0.5,20,1,0,0,0.666667,0,0,5,1,0.6667,clean
3,2,0,3,31,3,0,0,3,2,208,0,0,0.953488,0.555556,2,5,68.333333,1,0.6667,clean
6,2,0,1,25,15,0,0,5,2,101,0,0,0.6875,0.416667,1,1,15.833333,6,1.6667,clean
2,1,0,3,14,1,0,0,2,2,245,0,0,0,0.75,0,0,121.5,4,2,clean
12,1,0,2,41,20,1,0,9,0.87013,354,0.571429,0,0,0.375,0,0,27.916667,4,1.75,clean
12,3,0,3,33,0,2,0,12,0.838384,241,1,4,0.76087,0.285714,2,3,18.333333,3,1.75,clean
27,1,0,21,27,351,18,0,27,2,27,0,0,0,1,0,0,0,1,1,clean
12,1,0,8,23,0,4,0,12,0.136364,543,1,2,0,0.398148,0,0,44.083333,6,2.75,clean
4,5,0,2,13,0,0,0,4,0,58,1,0,0.957746,0.625,1,1,13.25,1,0.75,clean
10,1,0,3,11,45,2,0,9,1,17,0,0,0,0.333333,0,0,0.6,1,0.8,clean
20,1,0,2,29,92,2,0,19,0.822368,336,1,0,0,0.375,0,0,15.4,10,1.7,clean
2,2,0,2,4,0,1,0,2,0,21,1,0,0.916667,0.666667,0,0,9,1,0.5,clean
3,2,0,7,12,1,2,0,3,0,270,1,0,0.666667,0.555556,1,1,88.666667,1,0.3333,clean
3,1,0,5,17,0,1,0,2,0.6,113,1,2,0,0.625,0,0,35,1,0.3333,clean
1,1,0,0,2,0,0,0,1,2,5,0,0,0,1,0,0,3,0,0,clean
2,2,0,10,15,0,1,0,2,1.5,55,1,0,0.5,0.666667,0,0,24.5,1,0.5,clean
8,2,0,3,32,0,3,0,7,0.428571,195,0.5,2,0.538462,0.714286,0,0,23.125,2,0.875,clean
9,2,0,0,37,22,0,0,8,0.75,211,1,0,0.538462,0.65625,2,2,22.222222,3,1,clean
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,clean
12,1,0,3,31,0,0,0,12,0.424242,151,1,1,0,0.333333,0,0,11.333333,3,1.3333,clean
8,1,0,4,28,16,2,0,3,0.714286,140,1,0,0,0.214286,0,0,16.25,7,1.5,clean
25,2,0,7,73,144,0,0,8,0.91369,1372,0.571429,0,0.574074,0.381944,2,4,53.32,8,2.6,clean
49,1,0,10,113,238,1,0,47,0.844551,667,1,4,0,0.13447,0,0,12.346939,3,1.0408,clean
6,1,0,3,27,9,1,0,2,0.771429,140,1,0,0,0.25,0,0,21.166667,1,0.6667,clean
6,1,0,0,7,15,0,0,6,2,9,0,0,0,0.333333,0,0,0.5,1,0.8333,clean
7,1,0,2,19,11,0,0,4,1.027778,1730,0.916667,0,0,0.291667,0,0,244.428571,6,3.4286,clean
17,1,0,0,17,136,0,0,17,2,17,0,0,0,0.382353,0,0,0,1,1,clean
8,1,0,5,38,6,4,0,8,0.514286,401,1,0,0,0.541667,0,0,48.5,12,3.5,clean
6,1,0,0,7,15,0,0,6,2,9,0,0,0,0.333333,0,0,0.5,1,0.8333,clean
2,2,0,4,7,1,1,0,2,2,39,0,0,0.916667,0.666667,0,0,18.5,1,0.5,clean
2,1,6,0,3,1,0,0,2,2,5,0,0,0,0.75,0,0,1.5,1,0.5,clean
9,2,0,2,20,0,1,0,9,0.708333,112,0.666667,0,0.555556,0.333333,1,2,11.111111,1,0.8889,clean
1,1,0,35,1,0,34,0,1,2,1,0,0,0,1,0,0,0,1,1,clean
18,1,0,9,43,29,2,0,16,0.735294,1050,1,6,0,0.218487,0,0,56.333333,4,1.0556,clean
11,1,0,12,11,55,10,0,11,2,11,0,0,0,0.309091,0,0,0,1,1,clean
5,3,0,3,21,0,2,0,4,0.55,387,0.4,1,0.894737,0.4,1,1,75.4,14,4.8,clean
8,1,0,0,14,0,0,0,7,0.571429,95,0.5,0,0,0.371429,0,0,10.625,2,0.75,clean
4,1,0,1,9,0,1,0,0,0.5,32,1,0,0,1,0,0,6.5,1,0.75,clean
1,1,0,0,2,0,0,0,1,2,5,0,0,0,1,0,0,3,0,0,clean
2,1,0,5,2,1,3,0,2,2,2,0,0,0,0.75,0,0,0,1,1,clean
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,clean
3,1,0,18,4,1,18,0,1,0.952381,134,0,20,0,0.75,0,0,36.666667,1,0.3333,clean
3,3,0,3,4,3,1,0,3,2,11,0,0,0.95122,0.666667,0,0,2.666667,1,0.6667,clean
30,2,0,11,79,301,0,0,27,0.870345,737,1,2,0.416667,0.344828,1,1,22.733333,2,1,clean
7,1,0,1,13,0,1,0,7,0.5,50,1,0,0,0.5,0,0,5.857143,1,0.8571,clean
2,1,0,3,14,1,0,0,2,2,577,0,0,0,0.75,0,0,287.5,6,3,clean
10,1,0,10,43,0,3,0,6,0.481481,257,1,3,0,0.35,0,0,24.4,3,1.3,clean
3,3,0,4,8,3,1,0,3,2,27,0,0,0.95122,0.666667,1,1,8,1,0.6667,clean
2,1,0,5,7,1,4,0,1,1.416667,62,0.25,1,0,1,0,0,24,0,0,clean
19,1,0,3,32,79,2,0,16,0.822222,612,1,1,0,0.263158,0,0,30.684211,14,2.6316,clean
23,1,0,7,38,155,5,0,19,0.704545,316,1,1,0,0.227273,0,0,12.478261,4,1.2609,clean
21,2,0,5,66,114,1,0,19,0.827273,607,0.090909,0,0.55814,0.3375,0,0,27.380952,16,2.2381,clean
11,3,0,2,22,0,1,0,10,0.35,108,1,1,0.9,0.3,1,1,8.636364,2,0.9091,clean
3,3,0,3,13,3,0,0,3,2,95,0,0,0.954545,0.555556,1,3,30.666667,1,0.6667,clean
17,1,0,1,22,0,1,0,16,0.4375,275,1,0,0,0.352941,0,0,14.941176,5,2.2353,clean
90,1,0,26,158,3537,11,0,81,0.960356,1560,0.924528,5,0,0.175562,0,0,15.744444,8,1.3222,clean
2,4,0,0,4,1,0,0,2,2,9,0,0,1,0.75,0,0,3.5,0,0,clean
34,1,0,0,67,0,0,0,32,0.727273,233,1,2,0,0.264706,0,0,5.735294,2,1,clean
6,2,3,0,7,15,0,0,6,2,9,0,0,0.444444,0.611111,0,0,0.5,1,0.8333,clean
7,1,0,7,24,13,7,0,4,0.833333,314,1,0,0,0.214286,0,0,42.857143,4,2.4286,clean
12,1,0,14,38,14,7,0,11,0.672727,158,1,3,0,0.25974,0,0,11.75,1,0.75,clean
11,2,0,2,21,0,1,0,8,0.6,86,1,1,0.68,0.316667,0,0,6.636364,3,1.2727,clean
2,4,0,3,3,1,1,0,2,2,8,0,0,0.97561,0.666667,0,0,3,1,0.5,clean
10,1,0,5,17,7,4,0,10,1.027778,280,0.25,0,0,0.7,0,0,25,6,1.7,clean
7,1,1,3,8,9,1,0,7,0.583333,35,1,0,0,0.642857,0,0,3.714286,1,0.8571,clean
17,1,0,10,48,6,2,0,15,0.775,1267,1,6,0,0.232143,0,0,72.352941,4,1.1176,clean
2,1,0,3,14,1,0,0,2,2,1791,0,0,0,0.75,0,0,894.5,11,5.5,clean
1,1,0,5,1,0,4,0,1,2,1,0,0,0,1,0,0,0,1,1,clean
19,2,4,0,38,171,0,0,18,2,120,0,0,0.485714,0.377193,0,0,5.315789,1,0.9474,clean
10,3,0,10,42,11,0,0,9,0.555556,273,0.5,0,0.829787,0.466667,2,2,26.1,1,0.8,clean
20,2,0,5,51,156,1,0,19,0.642105,429,1,2,0.6875,0.371429,0,0,20.2,2,0.3,clean
2,2,0,5,10,1,2,0,2,2,36,0,0,0.916667,0.666667,1,1,17,1,0.5,clean
8,1,1,11,21,10,5,0,4,0.734694,108,0.714286,2,0,0.428571,0,0,11.625,2,0.75,buggy
1,1,0,0,2,0,0,0,1,2,9,0,0,0,1,0,0,3,0,0,buggy
2,1,0,5,4,1,4,0,1,1.767442,79,0,0,0,1,0,0,17,0,0,buggy
4,2,0,19,76,0,1,0,1,0.5,640,1,1,0.875,0.666667,1,1,158.5,5,1.5,buggy
20,1,0,15,89,60,6,0,17,0.796053,826,1,5,0,0.133333,0,0,39.5,10,1.6,buggy
39,3,0,1,78,0,0,0,35,0.763158,560,1,1,0.449275,0.131868,1,1,13.179487,8,1.8462,buggy
46,1,0,41,210,777,1,0,33,0.912346,2793,1,8,0,0.115278,0,0,58.934783,44,4.6304,buggy
17,1,0,11,39,86,1,0,3,0.757813,594,1,3,0,0.3125,0,0,33.470588,14,3.6471,buggy
9,1,0,8,29,10,4,0,2,0.569444,433,0.888889,4,0,0.303571,0,0,46.111111,2,0.8889,buggy
11,1,0,3,15,1,1,0,11,0.683333,193,1,1,0,0.327273,0,0,16,3,1.3636,buggy
52,1,0,25,71,0,22,0,50,0.69281,1338,1,2,0,0.164336,0,0,24.557692,11,2.0577,buggy
28,1,0,34,181,20,4,0,8,0.77342,2634,1,6,0,0.148148,0,0,92.464286,19,5.0714,buggy
24,1,0,18,68,156,13,0,19,0.889632,590,1,4,0,0.236715,0,0,23.041667,13,1.9167,buggy
30,2,5,25,110,281,5,0,22,0.902299,929,1,4,0.416667,0.175862,1,1,29.366667,10,1.7333,buggy
81,1,0,17,212,2914,0,0,69,0.977083,2334,0.988095,5,0,0.184375,0,0,26.777778,9,1.3457,buggy
23,1,0,9,48,193,5,0,21,0.905303,429,0.916667,5,0,0.272727,0,0,17.130435,10,2.2609,buggy
18,1,4,11,34,119,10,0,7,0.705882,387,0.2,4,0,0.305882,0,0,20.222222,15,3.4444,buggy
31,4,0,14,176,311,2,0,2,0.968056,4485,1,1,0.677778,0.252778,4,8,142.903226,32,3.9032,buggy
16,1,0,23,98,54,3,0,4,0.607018,1347,1,10,0,0.342857,0,0,82,16,3.125,buggy
51,1,0,40,207,999,4,0,38,0.907222,2594,1,9,0,0.092,0,0,49.156863,41,4.1373,buggy
