@relation 'ar6-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R30-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-6'

@attribute -0.262total_operators... numeric
@attribute -0.367halstead_level... numeric
@attribute 0.523design_density... numeric
@attribute -0.49decision_density... numeric
@attribute 0.802formal_parameters... numeric
@attribute class {buggy,clean}

@data
3.512254,0.068897,-0.97365,0.835943,1.18645,clean
3.461431,0.056628,-0.962348,0.831219,1.200228,clean
3.461431,0.056628,-0.962348,0.831219,1.200228,clean
-3.689987,0.784212,1.236011,-4.052909,-0.114707,clean
-2.504923,0.596519,1.681271,-0.920167,1.374912,clean
2.462063,-0.106966,0.941453,0.434008,1.889731,clean
2.241765,-0.012674,4.443407,0.443781,0.197454,clean
0.153591,0.606187,-0.996129,-2.398924,-0.489659,clean
-1.684969,1.048825,-0.515696,-2.441102,-0.324088,clean
3.486017,0.022075,-0.526186,0.374703,-0.564164,buggy
-3.708242,-17.170996,-0.433378,-0.312194,0.114153,buggy
-4.850108,-19.633443,-0.634632,0.012819,-0.108602,buggy
-6.564708,1.330871,-1.833237,0.310229,-0.003713,clean
2.473375,0.364466,-1.238288,-0.410503,-1.284476,clean
3.690598,0.055212,-0.480888,0.51747,-0.644707,clean
-3.515976,0.69565,0.332855,0.531008,-1.351052,buggy
-5.916022,0.461444,6.329471,0.022224,-0.712192,clean
0.462242,0.074162,-0.039712,-0.17999,-0.733987,clean
-6.556836,1.189921,-2.363984,2.651618,-1.305682,clean
-13.497228,1.765615,0.868691,3.477104,-1.239764,buggy
2.138123,0.178455,-0.62503,-0.084625,-0.087205,clean
3.434587,0.031103,-0.66314,0.942374,1.313123,clean
0.738474,0.254224,1.209057,-1.21009,-0.854727,clean
-1.419372,0.371549,2.905501,0.578227,-0.000439,clean
4.008338,0.202595,-0.782344,0.731402,-0.972716,clean
2.362653,0.444311,-1.678874,-0.57097,-0.026896,clean
4.008338,0.202595,-0.782344,0.731402,-0.972716,clean
-3.525801,0.480368,2.036144,-1.563505,-0.007858,clean
-6.907028,1.451055,-0.158335,-0.730414,-0.101473,clean
-6.222301,1.11964,-0.497772,0.022107,1.999592,clean
2.023898,-0.213318,2.928144,-0.025522,0.295973,clean
-11.493467,1.978081,0.491373,-0.16674,2.424531,clean
3.025412,-0.069189,2.060845,0.356889,-0.137125,clean
-3.348543,0.69923,0.228688,-1.536078,-0.281835,clean
-4.290424,0.456474,0.550657,-1.237009,2.067155,clean
-5.174525,0.686707,0.552068,-1.473341,2.109301,clean
2.171229,0.017839,3.03674,-0.063761,0.241035,clean
1.855771,0.009617,0.772125,-0.056842,0.015639,clean
3.333468,0.081155,-1.464046,1.160231,3.017185,clean
3.512254,0.068897,-0.97365,0.835943,1.18645,clean
-1.155989,0.551567,1.059762,-0.668583,-0.269917,clean
2.593483,-0.065306,3.93629,0.643007,0.13996,clean
2.481131,-0.107121,4.201321,0.244916,0.148067,clean
-3.281438,0.767962,2.172544,-0.287511,-0.466302,clean
0.461421,0.203828,1.929851,-0.583134,-0.450522,clean
