@relation PC1

@attribute loc numeric
@attribute v(g) numeric
@attribute ev(g) numeric
@attribute iv(G) numeric
@attribute N numeric
@attribute V numeric
@attribute L numeric
@attribute D numeric
@attribute I numeric
@attribute E numeric
@attribute B numeric
@attribute T numeric
@attribute lOCode numeric
@attribute lOComment numeric
@attribute locCodeAndComment numeric
@attribute lOBlank numeric
@attribute uniq_Op numeric
@attribute uniq_Opnd numeric
@attribute total_Op numeric
@attribute total_Opnd numeric
@attribute branchCount numeric
@attribute class {buggy,clean}

@data
4,1,1,1,8,22.46,0.4,2.5,8.98,56.15,0.01,3.12,4,0,0,0,5,2,6,2,1,clean
3,1,1,1,7,19.65,0.5,2,9.83,39.3,0.01,2.18,2,0,1,1,4,3,4,3,1,clean
3,1,1,1,10,31.7,0.29,3.5,9.06,110.95,0.01,6.16,3,0,0,0,7,2,8,2,1,clean
49,10,3,10,326,2094.96,0.04,25.56,81.98,53537.93,0.7,2974.33,49,8,0,19,23,63,186,140,19,clean
21,3,1,3,64,322.84,0.1,9.95,32.45,3211.42,0.11,178.41,21,1,0,3,14,19,37,27,4,clean
8,1,1,1,25,97.67,0.18,5.71,17.09,558.13,0.03,31.01,8,0,0,2,8,7,15,10,1,clean
4,1,1,1,8,20.68,0.67,1.5,13.79,31.02,0.01,1.72,4,0,0,5,3,3,5,3,1,clean
9,1,1,1,65,322.02,0.11,9.16,35.16,2949.05,0.11,163.84,9,2,0,5,12,19,36,29,1,clean
79,23,1,22,243,1569.64,0.03,28.96,54.19,45461.48,0.52,2525.64,79,0,0,27,34,54,151,92,25,clean
44,6,1,3,182,1052.21,0.05,22.17,47.47,23323.93,0.35,1295.77,43,27,1,11,19,36,98,84,11,clean
21,6,5,6,110,585.41,0.07,15,39.03,8781.18,0.2,487.84,21,7,0,9,15,25,60,50,11,clean
9,1,1,1,64,276.6,0.17,6,46.1,1659.62,0.09,92.2,9,9,0,7,6,14,36,28,1,clean
106,48,1,2,1007,5430.06,0.01,115.43,47.04,626797.86,1.81,34822.1,103,0,3,1,13,29,492,515,95,clean
5,2,1,1,19,68.11,0.24,4.2,16.21,286.08,0.02,15.89,5,0,0,0,7,5,13,6,3,clean
5,1,1,1,17,62.91,0.24,4.08,15.41,256.87,0.02,14.27,5,9,0,3,7,6,10,7,1,clean
6,2,1,2,11,33,0.5,2,16.5,66,0.01,3.67,6,0,0,2,4,4,7,4,3,clean
50,19,11,12,294,1757.32,0.03,36.22,48.52,63649.28,0.59,3536.07,46,0,4,3,22,41,159,135,37,clean
12,7,1,4,84,423.73,0.09,10.86,39.03,4600.49,0.14,255.58,12,0,0,0,12,21,46,38,13,clean
69,11,1,7,270,1785.97,0.04,22.5,79.38,40184.36,0.6,2232.46,60,8,9,31,30,68,168,102,18,clean
67,11,5,4,284,1774.41,0.04,28.21,62.91,50051.79,0.59,2780.66,64,33,3,13,23,53,154,130,21,clean
3,1,1,1,1,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,1,clean
34,6,6,6,176,1026.58,0.06,17,60.39,17452.01,0.34,969.56,34,5,0,19,19,38,108,68,11,clean
5,1,1,1,22,69.74,0.18,5.63,12.4,392.28,0.02,21.79,5,0,0,2,5,4,13,9,1,clean
22,3,3,2,107,591.02,0.07,14.79,39.97,8738.67,0.2,485.48,22,14,0,12,18,28,61,46,5,clean
20,3,1,2,91,450.83,0.07,13.89,32.45,6264.19,0.15,348.01,19,0,1,0,12,19,47,44,5,clean
20,3,1,1,88,366.95,0.07,13.36,27.46,4903.83,0.12,272.44,17,0,3,7,7,11,46,42,5,clean
7,1,1,1,17,64.73,0.29,3.5,18.49,226.54,0.02,12.59,7,1,0,1,7,7,10,7,1,clean
5,1,1,1,14,50.19,0.33,3,16.73,150.57,0.02,8.36,5,0,0,2,6,6,8,6,1,clean
13,2,1,2,81,389.4,0.06,18,21.63,7009.12,0.13,389.4,13,3,0,7,14,14,45,36,3,clean
83,20,15,7,325,2109.85,0.03,39.17,53.86,82648.01,0.7,4591.56,80,23,3,32,32,58,183,142,39,clean
20,5,1,4,149,751.61,0.02,43.85,17.14,32955.41,0.25,1830.86,20,0,0,0,20,13,92,57,9,clean
3,1,1,1,7,19.65,0.5,2,9.83,39.3,0.01,2.18,3,0,0,1,4,3,4,3,1,clean
83,20,15,7,325,2115.03,0.02,40.4,52.36,85440.05,0.71,4746.67,80,22,3,32,33,58,183,142,39,clean
22,3,3,2,107,591.02,0.07,14.79,39.97,8738.67,0.2,485.48,22,14,0,12,18,28,61,46,5,clean
3,1,1,1,7,19.65,0.5,2,9.83,39.3,0.01,2.18,3,4,0,1,4,3,4,3,1,clean
35,2,1,1,213,1322.61,0.08,13.22,100.04,17485.4,0.44,971.41,35,4,0,8,15,59,109,104,3,clean
13,4,3,2,61,310.34,0.05,20.17,15.39,6258.43,0.1,347.69,13,0,0,1,22,12,39,22,7,clean
3,1,1,1,7,19.65,0.5,2,9.83,39.3,0.01,2.18,3,0,0,0,4,3,4,3,1,clean
23,7,7,4,104,524.62,0.06,15.84,33.12,8311.04,0.17,461.72,23,0,0,11,14,19,61,43,13,clean
5,1,1,1,10,30,0.22,4.5,6.67,135,0.01,7.5,5,0,0,2,6,2,7,3,1,clean
8,4,3,1,31,126.71,0.07,14.4,8.8,1824.64,0.04,101.37,8,0,0,1,12,5,19,12,7,clean
14,2,1,1,129,661.68,0.06,15.91,41.58,10529.3,0.22,584.96,14,4,0,5,12,23,68,61,3,clean
62,18,12,11,319,1974.55,0.03,39.28,50.27,77553.76,0.66,4308.54,62,1,0,6,26,47,177,142,35,clean
3,1,1,1,7,19.65,0.5,2,9.83,39.3,0.01,2.18,3,0,0,0,4,3,4,3,1,clean
5,1,1,1,27,85.59,0.13,7.5,11.41,641.91,0.03,35.66,4,2,1,0,5,4,15,12,1,clean
18,1,1,1,110,577.27,0.08,11.77,49.05,6794.05,0.19,377.45,16,0,2,3,12,26,59,51,1,clean
11,1,1,1,57,228,0.12,8.4,27.14,1915.2,0.08,106.4,11,3,0,4,6,10,29,28,1,clean
19,9,9,1,99,507.8,0.04,26.67,19.04,13541.31,0.17,752.29,19,0,0,1,20,15,59,40,17,clean
5,1,1,1,10,30,0.22,4.5,6.67,135,0.01,7.5,5,0,0,2,6,2,7,3,1,clean
21,5,1,1,89,463.64,0.04,23.63,19.63,10953.53,0.15,608.53,19,7,2,9,21,16,53,36,9,clean
33,4,1,4,158,882.42,0.03,28.98,30.45,25572.65,0.29,1420.7,31,12,2,24,23,25,95,63,7,clean
9,4,4,1,28,100.38,0.07,13.5,7.44,1355.12,0.03,75.28,9,0,0,2,9,3,19,9,7,clean
7,1,1,1,27,96.79,0.22,4.64,20.85,449.4,0.03,24.97,7,6,0,4,5,7,14,13,1,clean
10,3,1,2,52,255.16,0.11,9.19,27.77,2344.27,0.09,130.24,9,2,1,3,14,16,31,21,5,clean
83,13,7,8,443,2889.94,0.04,27.36,105.63,79066.26,0.96,4392.57,81,21,2,15,21,71,258,185,25,clean
5,1,1,1,14,48.43,0.19,5.25,9.23,254.27,0.02,14.13,5,0,0,2,7,4,8,6,1,clean
6,3,3,2,30,125.1,0.15,6.5,19.25,813.14,0.04,45.17,6,0,0,0,9,9,17,13,5,clean
7,3,1,2,34,144.43,0.09,11,13.13,1588.72,0.05,88.26,7,0,0,4,11,8,18,16,5,clean
19,6,3,2,87,408.94,0.04,23.33,17.53,9541.89,0.14,530.11,19,0,0,4,14,12,47,40,11,clean
21,8,5,6,141,791.67,0.05,20.9,37.88,16545.99,0.26,919.22,21,0,0,3,19,30,75,66,15,clean
11,1,1,1,126,624.23,0.08,12.38,50.42,7728.55,0.21,429.36,11,4,0,6,10,21,74,52,1,clean
15,3,1,3,79,395,0.09,11.7,33.76,4621.5,0.13,256.75,14,1,1,2,12,20,40,39,5,clean
21,5,3,3,90,432.66,0.05,20.5,21.11,8869.57,0.14,492.75,19,0,2,10,14,14,49,41,9,clean
4,1,1,1,33,137.61,0.16,6.25,22.02,860.05,0.05,47.78,4,0,0,0,10,8,23,10,1,clean
6,1,1,1,19,68.11,0.13,8,8.51,544.91,0.02,30.27,6,0,0,0,8,4,11,8,1,clean
10,1,1,1,26,106.27,0.16,6.43,16.53,683.19,0.04,37.96,10,0,0,1,10,7,17,9,1,clean
21,4,1,2,57,276.9,0.09,10.71,25.84,2966.84,0.09,164.82,21,0,0,4,15,14,37,20,7,clean
17,2,1,1,76,333.82,0.06,16.82,19.85,5614.18,0.11,311.9,17,0,0,1,10,11,39,37,3,clean
24,6,6,4,84,416.15,0.08,13.18,31.58,5483.42,0.14,304.63,23,0,1,2,14,17,52,32,11,clean
3,1,1,1,9,28.53,0.29,3.5,8.15,99.85,0.01,5.55,3,0,0,1,7,2,7,2,1,clean
7,4,4,1,32,135.93,0.1,9.63,14.12,1308.36,0.05,72.69,7,0,0,1,11,8,18,14,7,clean
12,3,1,3,36,152.93,0.12,8.33,18.35,1274.38,0.05,70.8,12,0,0,2,10,9,21,15,5,clean
199,58,1,2,1079,7184.21,0.02,55.52,129.4,398853.5,2.39,22158.53,199,0,0,16,18,83,567,512,115,clean
11,2,1,1,36,165.06,0.09,11.67,14.15,1925.68,0.06,106.98,10,0,1,2,15,9,22,14,3,clean
45,12,6,6,225,1329.05,0.04,26.92,49.36,35782.13,0.44,1987.9,45,1,0,3,21,39,125,100,23,clean
10,1,1,1,22,85.95,0.17,6,14.33,515.71,0.03,28.65,10,0,0,1,9,6,14,8,1,clean
11,5,3,4,77,361.93,0.04,23.86,15.17,8637.06,0.12,479.84,11,0,0,3,15,11,42,35,9,clean
22,8,8,1,83,385.44,0.04,25.5,15.12,9828.72,0.13,546.04,22,0,0,2,15,10,49,34,15,clean
4,1,1,1,9,28.53,0.33,3,9.51,85.59,0.01,4.75,4,0,0,0,6,3,6,3,1,clean
6,4,4,2,27,102.8,0.1,10,10.28,1027.99,0.03,57.11,6,0,0,1,10,4,19,8,7,clean
9,6,5,2,45,187.65,0.05,18.2,10.31,3415.17,0.06,189.73,9,0,0,1,13,5,31,14,11,clean
5,2,1,2,21,84,0.13,7.5,11.2,630,0.03,35,5,0,0,1,10,6,12,9,3,clean
9,6,3,3,57,246.35,0.04,23.21,10.61,5718.84,0.08,317.71,9,0,0,2,13,7,32,25,11,clean
11,6,5,1,47,199.65,0.04,22.4,8.91,4472.22,0.07,248.46,11,0,0,1,14,5,31,16,11,clean
29,5,1,5,136,759.55,0.09,11.51,65.97,8745.73,0.25,485.87,24,10,5,2,13,35,74,62,9,clean
8,5,1,5,59,250.63,0.05,19.25,13.02,4824.58,0.08,268.03,8,1,0,0,11,8,31,28,9,clean
12,6,6,2,57,276.9,0.05,21.85,12.67,6050.37,0.09,336.13,12,0,0,1,19,10,34,23,11,clean
8,3,3,2,32,135.93,0.07,14.08,9.65,1914.4,0.05,106.36,8,0,0,1,13,6,19,13,5,clean
12,4,1,1,50,216.1,0.07,15,14.41,3241.45,0.07,180.08,12,0,0,2,12,8,30,20,7,clean
5,1,1,1,2,2,2,0.5,4,1,0,0.06,5,0,0,1,1,1,1,1,1,clean
13,10,6,5,85,404.17,0.05,20.46,19.75,8269.85,0.13,459.44,13,0,0,1,14,13,47,38,19,clean
9,2,1,2,49,238.04,0.08,12.31,19.34,2929.74,0.08,162.76,9,0,0,1,16,13,29,20,3,clean
4,1,1,1,16,57.36,0.17,6,9.56,344.16,0.02,19.12,4,0,0,0,8,4,10,6,1,clean
6,4,4,1,32,135.93,0.1,9.63,14.12,1308.36,0.05,72.69,6,0,0,0,11,8,18,14,7,clean
8,5,4,4,38,155.32,0.05,21.12,7.35,3281.21,0.05,182.29,8,0,0,2,13,4,25,13,9,clean
11,5,3,1,63,288.85,0.06,17.14,16.86,4949.88,0.1,274.99,11,0,0,0,13,11,34,29,9,clean
3,1,1,1,5,11.61,0.67,1.5,7.74,17.41,0,0.97,3,0,0,0,3,2,3,2,1,clean
6,3,1,1,21,75.28,0.2,4.9,15.36,368.89,0.03,20.49,6,0,0,0,7,5,14,7,5,clean
29,7,3,2,122,604.41,0.05,20.94,28.86,12659.07,0.2,703.28,29,0,0,2,13,18,64,58,13,clean
21,4,1,2,94,493.31,0.11,9.17,53.82,4521.96,0.16,251.22,21,0,0,1,11,27,49,45,7,clean
27,9,5,2,139,744.7,0.04,23.09,32.25,17192.85,0.25,955.16,24,0,3,6,18,23,80,59,17,clean
0,1,1,1,6,15.51,0.4,2.5,6.2,38.77,0.01,2.15,0,0,0,0,5,1,5,1,1,clean
16,4,1,1,60,278.63,0.05,21,13.27,5851.26,0.09,325.07,16,0,0,1,15,10,32,28,7,clean
24,1,1,1,186,938.26,0.05,21.75,43.14,20407.1,0.31,1133.73,24,0,0,2,11,22,99,87,1,clean
18,3,3,2,59,318.15,0.09,10.74,29.62,3416.62,0.11,189.81,16,0,2,3,19,23,33,26,5,clean
14,6,4,2,74,366.61,0.04,22.73,16.12,8332.05,0.12,462.89,14,1,0,1,20,11,49,25,11,clean
11,5,1,3,51,230.7,0.07,14.3,16.12,3299.03,0.08,183.28,11,0,0,1,13,10,29,22,9,clean
10,3,1,3,53,232.79,0.11,9,25.87,2095.13,0.08,116.4,10,0,0,0,9,12,29,24,5,clean
15,1,1,1,68,293.89,0.1,9.82,29.93,2885.48,0.1,160.3,15,0,0,5,9,11,44,24,1,clean
11,5,5,1,42,171.67,0.05,20.4,8.42,3502.14,0.06,194.56,11,0,0,1,12,5,25,17,9,clean
7,3,1,1,29,110.41,0.05,18.33,6.02,2024.24,0.04,112.46,7,0,0,1,11,3,19,10,5,clean
23,6,5,2,96,461.51,0.04,25.38,18.18,11715.15,0.15,650.84,23,0,0,1,15,13,52,44,11,clean
13,2,1,1,24,103.73,0.18,5.5,18.86,570.49,0.03,31.69,13,0,0,0,11,9,15,9,3,clean
9,2,1,1,34,138.97,0.08,13.2,10.53,1834.45,0.05,101.91,9,0,0,1,12,5,23,11,3,clean
13,7,7,1,50,219.62,0.05,21.25,10.33,4666.84,0.07,259.26,13,0,0,1,15,6,33,17,13,clean
12,2,1,1,49,215.22,0.07,14,15.37,3013.13,0.07,167.4,12,1,0,3,12,9,28,21,3,clean
11,5,5,1,41,164,0.05,18.7,8.77,3066.8,0.05,170.38,11,0,0,1,11,5,24,17,9,clean
7,1,1,1,23,79.57,0.16,6.13,12.99,487.35,0.03,27.07,7,0,0,0,7,4,16,7,1,clean
8,1,1,1,31,111.13,0.14,7,15.88,777.94,0.04,43.22,8,0,0,0,7,5,21,10,1,clean
27,6,4,2,146,760.58,0.02,46.93,16.21,35696.56,0.25,1983.14,22,0,5,1,22,15,82,64,11,clean
13,4,1,3,88,454.95,0.04,27.3,16.66,12420.23,0.15,690.01,13,0,0,3,21,15,49,39,7,clean
38,16,7,9,228,1397.48,0.04,28.33,49.32,39595.17,0.47,2199.73,38,0,0,5,25,45,126,102,31,clean
5,2,1,1,15,53.77,0.2,5,10.75,268.87,0.02,14.94,5,0,0,1,8,4,10,5,3,clean
5,2,1,1,18,62.27,0.19,5.25,11.86,326.92,0.02,18.16,5,0,0,1,7,4,12,6,3,clean
26,18,13,6,228,1335.62,0.03,35.81,37.29,47834.26,0.45,2657.46,26,0,0,1,23,35,119,109,35,clean
