@relation 'Apache2.0_golden-weka.filters.unsupervised.attribute.Remove-R1-2,63-weka.filters.unsupervised.attribute.Remove-R12,15,18-20,23-24,28,35-38,46-47,51,53-54-weka.filters.unsupervised.attribute.Remove-R31-33-weka.filters.unsupervised.attribute.Remove-R9-20,34-35-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R27-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-6'

@attribute '0.24 SumCyclomatic...' numeric
@attribute -0.325AvgCyclomatic... numeric
@attribute 0.714RatioCommentToCode... numeric
@attribute 0.863AvgLine... numeric
@attribute -0.728CountSemicolon... numeric
@attribute class {buggy,clean}

@data
1.690504,2.339261,-0.771811,-0.166915,0.572842,buggy
-3.133226,0.519721,1.906766,0.163538,-1.396939,clean
0.850477,1.444192,-0.128293,-0.069985,0.391427,buggy
3.48573,1.47563,0.246557,0.063922,0.216537,buggy
4.849864,-0.802934,1.017278,0.316843,0.242925,buggy
-3.102774,0.236088,0.472106,-0.04754,-0.229885,buggy
-2.612927,-0.304764,-0.261178,-0.180696,0.141789,buggy
1.061377,-1.839218,0.840892,0.075255,0.097794,buggy
-1.844888,-1.101443,-0.042226,-0.15662,0.077293,clean
1.146335,-0.402163,-0.786405,-0.334357,0.414639,buggy
-3.222735,0.341446,0.395492,-0.081109,-0.282464,clean
-1.324934,-0.934437,-0.783571,-0.323687,0.306094,clean
3.901723,-6.761713,0.360088,0.109568,0.039577,clean
2.932095,0.47345,0.183737,0.120281,0.236728,clean
-2.474906,0.016429,-0.153779,-0.185605,0.13427,buggy
-0.595526,-0.999754,-0.263345,-0.212039,0.287242,buggy
1.078073,1.781345,0.169908,-0.066223,0.182865,buggy
-1.855683,0.388754,-0.34207,-0.198845,0.384728,clean
-1.722754,0.575696,-0.441268,-0.18981,0.35392,clean
-1.039356,0.509853,-0.278011,-0.12696,0.220045,buggy
4.971069,2.26681,2.120767,0.625034,-0.701753,buggy
-2.327985,-0.060368,-0.210167,-0.129895,0.267068,clean
2.262615,-6.057301,0.06306,-0.12726,-0.210615,clean
0.881824,-3.188297,1.640324,0.225837,0.086175,buggy
-2.176078,-1.470749,-0.03657,-0.286024,-0.152899,clean
-3.222428,0.33697,0.409203,-0.072952,-0.283016,clean
-0.862487,-2.773879,-0.414697,-0.446198,0.082571,clean
-3.263386,0.364962,0.484091,-0.06177,-0.341693,clean
-3.341795,0.14059,1.068927,-0.026213,-0.867689,clean
4.611811,3.244935,-0.064326,-0.033501,0.402697,buggy
-1.760404,-1.391147,0.322339,-0.179083,-0.16804,clean
-1.811893,0.208472,-0.140707,-0.091702,0.321985,buggy
5.433469,3.554359,-0.410971,-0.095206,0.213657,buggy
4.25666,1.150296,0.993824,0.393817,0.105772,buggy
-2.727379,-0.739434,0.329323,-0.108751,-0.311014,clean
-3.726314,0.867002,-0.61329,-0.183267,0.630674,clean
-3.329298,0.729585,0.053914,-0.092603,0.047519,clean
-3.709299,0.878972,-0.61081,-0.181906,0.632614,clean
-0.702521,0.839828,-0.573634,-0.190831,0.459916,buggy
2.933778,0.949867,0.082287,0.02837,0.300549,buggy
-3.620951,0.940319,-0.590376,-0.171279,0.642442,buggy
-3.544013,0.994446,-0.579161,-0.165125,0.651212,buggy
0.188493,-0.617417,0.658493,0.110917,0.038965,clean
-3.019833,0.330161,1.110701,0.022206,-0.783143,clean
-3.246597,0.56724,-0.16649,-0.128671,0.260681,clean
-3.624559,0.507334,1.403552,0.055209,-1.098129,clean
-0.01958,-0.26671,-0.216963,-0.160894,0.317105,buggy
-2.400274,0.036645,0.531456,-0.020926,0.017051,clean
-2.913596,0.216186,-0.217918,-0.148369,0.190989,clean
-0.491833,-4.088495,-0.316307,-0.188815,0.17576,buggy
0.861104,0.767549,0.247287,0.025606,0.129408,buggy
-3.570308,0.97702,-0.590625,-0.17104,0.648428,clean
1.085456,-4.237503,-0.965695,-0.49983,0.223704,clean
4.23438,2.944655,0.06799,-0.000631,0.380396,buggy
-0.528252,-0.031089,-0.269292,-0.231847,0.220546,clean
